name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Stylish Roll<c>!"""
text02#0,"""When you have Twin Machineguns equipped, your Weapon Action is an <red>evasive maneuver called Stylish Roll<c>."""
text03#0,"""Try using Stylish Roll now."""
text101#0,"""Task 2: <yellow>Do 3 Stylish Rolls"""
train_title#0,"""Task 2: <yellow>Do 3 Stylish Rolls"""
tut_title#0,"""Stylish Roll"""
text100#0,"""・Use <%WeaponAction> to do a Stylish Roll<br>\u30003 times in a row"""
text100_3b#0,"""・Use <%MainPaletteC> to do a Stylish Roll<br>\u30003 times in a row"""
tut_win_title#0,"""Stylish Roll"""
tut_win_text100#0,"""When equipped with Twin Machineguns, you can perform a Stylish Roll with your Weapon Action.<br><br>Stylish Roll is an evasive action that you can perform at any time."""
