msc_040130_0010#0,"""กลับมาได้แล้ว……ใช่ไหม?"""
msc_040130_0020#0,"""อืม ไม่ผิดแน่<br>ที่นี่ไม่ใช่อัลตาเรล์ม (Alter Realm) แต่เป็นฮาลฟา (Halpha)"""
msc_040130_0030#0,"""ที่นี่คือ... ฮาลฟา (Halpha)..."""
msc_040130_0040#0,"""เมื่อกี้ขอบคุณนะ"""
msc_040130_0050#0,"""บาดเจ็บตรงไหนไหม"""
msc_040130_0060#0,"""ขอบคุณเนี่ย……หมายถึงฉันเหรอ?"""
msc_040130_0070#0,"""อะไรนะ? กำลังเป็นห่วงฉันอยู่เหรอ?"""
msc_040130_0080#0,"""ใช่สิ ดูเหมือนจะสู้มาก่อนพวกเราด้วย<br>แถมยังช่วยพวกเราเอาไว้อีกไม่ใช่เหรอ?"""
msc_040130_0090#0,"""ป-เปล่าซะหน่อย แค่ช่วยตอนที่ตัวเองกำลังหนีอยู่ก็แค่นั้นแหละ"""
msc_040130_0101#0,"""แต่ว่า ก็อย่างที่ <%me> พูดนั่นแหละ<br>ความจริงก็คือเธอช่วยพวกเราเอาไว้ ฉันเองก็ต้องขอบคุณด้วยเหมือนกัน"""
msc_040130_0100#0,"""แต่ว่า<br>ความจริงก็คือเธอช่วยพวกเราเอาไว้ ฉันเองก็ต้องขอบคุณด้วยเหมือนกัน"""
msc_040130_0110#0,"""ฉันชื่อไอน่า แล้วเธอชื่ออะไรเหรอ?"""
msc_040130_0120#0,"""……ไม่รู้สิ"""
msc_040130_0130#0,"""เอ๊ะ?"""
msc_040130_0140#0,"""ตอนที่ลืมตาตื่นขึ้นมา ก็นอนสลบอยู่และจำอะไรไม่ได้เลย<br>ทั้งชื่อ ทั้งตัวเองเป็นใคร……จำไม่ได้สักอย่าง"""
msc_040130_0150#0,"""หรือว่าจะเป็นหนึ่งในหน่วยสำรวจงั้นเหรอ?<br>อาจจะเข้าไปพัวพันกับเหตุการณ์ประหลาดที่จู่โจมหน่วยสำรวจ เลยทำให้สูญเสียความทรงจำไป…… มาน่อนคิดว่าไง?"""
msc_040130_0160#0,"""นั่นสินะ ก็มีความเป็นไปได้เหมือนกัน"""
msc_040130_0170#0,"""ถึงอย่างนั้นก็เถอะ ท่าทางของคนในหน่วยสำรวจเมื่อครู่นี้……<br>ดูยังไงก็ไม่น่าจะใช่เรื่องปกติเลย"""
msc_040130_0180#0,"""อื้อ ทั้งที่เป็น ARKS เหมือนกัน<br>แต่กลับพุ่งเข้ามาโจมตีพวกเราโดยไม่ลังเลเลยนะ"""
msc_040130_0190#0,"""ที่พวกเขาเข้ามาโจมตี เป็นเพราะสติสัมปชัญญะเลอะเลือน<br>หรือว่ากำลังถูกใครบางคนควบคุมอยู่กันแน่……"""
msc_040130_0200#0,"""……คงต้องตรวจสอบให้แน่ใจแล้วล่ะ"""
msc_040130_0210#0,"""ไปที่อัลตาเรล์ม (Alter Realm) กันอีกรอบเถอะ"""
msc_040130_0220#0,"""รีบไปกันดีกว่า"""
msc_040130_0230#0,"""นั่นสินะ รีบไปกันเถอะ"""
msc_040130_0240#0,"""อืม ใจจริงก็อยากจะถอยกลับไปตั้งหลักก่อนอยู่หรอก<br>แต่ตอนนี้สถานการณ์มันเร่งด่วนมาก"""
msc_040130_0250#0,"""นี่ แล้วเธอจะเอาไงต่อล่ะ? บางทีเธออาจจะเป็นคนของหน่วยสำรวจก็ได้<br>ถ้าไปด้วยกัน อาจจะเจอเบาะแสความทรงจำก็ได้นะ"""
msc_040130_0260#0,"""……เบาะแสของความทรงจำ……"""
msc_040130_0270#0,"""แน่นอนว่าอาจจะมีอาการบาดเจ็บตรงไหนอยู่ก็ได้<br>จะให้พวกเราพาไปส่งที่ศูนย์พยาบาลก็ได้นะ"""
msc_040130_0280#0,"""…………ไปสิ ……ฉันจะไปด้วย"""
