un_039140_0001#0,"""A.P.239/5/5"""
un_039140_0010#0,"""있잖아, 선대 선대!<br>선대는 왜 그렇게 강한 거야?"""
un_039140_0020#0,"""어, 그러니까…<br>시온 씨 덕분이지 않을까?"""
un_039140_0030#0,"""그렇구나, 그런 건가.<br>그러고 보니 선대, 그 무기<br>새 거지?"""
un_039140_0040#0,"""누가 만들어 줬어?<br>느낌은 어때, 쓰기 편해?"""
un_039140_0050#0,"""으, 응. 샤오가 지그 씨에게<br>부탁해서 만들어 줬대."""
un_039140_0060#0,"""내가 쓰면 보통 무기는<br>금방 망가져 버리니까<br>쓰기 편한지 아닌지는 잘 모르겠어."""
un_039140_0070#0,"""흐음, 흐음.<br>그런데 선대는 어떻게 선대가<br>된 거야? 선택받은 거야?"""
un_039140_0080#0,"""어, 그러니까… 시온 씨가 나를<br>빈 육망균형 자리에 배정한 것 같아서…<br>아마 절대령 대책이었을 거야."""
un_039140_0090#0,"""어느새 그렇게 됐다는 의미에서는<br>클라리스 클레이스랑 같을지도."""
un_039140_0100#0,"""그렇구나, 나랑 같구나!<br>후후, 그건 나쁘지 않은걸!"""
un_039140_0110#0,"""…아, 당신이구나.<br>봐, 저 클라리스 클레이스가<br>저렇게 따르는 걸."""
un_039140_0120#0,"""묻고 싶은 게 많다면서<br>의기양양하더니, 막상 돌아오니까<br>바짝 굳어서 말도 못 했어…"""
un_039140_0130#0,"""그러다 지난번 선물로<br>기세를 붙여 거리를 좁히니까, 저 꼴이야.<br>…극단적이라니까."""
un_039140_0140#0,"""마토이도 마토이야.<br>뭐든 다 대답해 주니까<br>더 따르고 더 끈질겨지고…"""
un_039140_0150#0,"""…계속 딱 붙어 있고.<br>정말이지…!"""
un_039140_0160#0,"""부러워?"""
un_039140_0170#0,"""외로워?"""
un_039140_0180#0,"""하… 하아!?<br>바, 바보 아니야!<br>그럴 리 없잖아!"""
un_039140_0190#0,"""푸흡!<br>그, 그럴 리 없잖아!<br>왜 내가 외로워해야 하는데!"""
un_039140_0200#0,"""전혀 부럽지 않고!<br>딱히 외롭지도 않고!"""
un_039140_0210#0,"""그, 그 애는 전부터<br>마토이랑 이야기하고 싶다고 했으니까<br>마음껏 이야기하면 되는 거야!"""
un_039140_0220#0,"""응…? 아, 사라랑<br><%me>!"""
un_039140_0230#0,"""…큰일, 들켰어!"""
un_039140_0240#0,"""사라, 뭐 하고 있어!<br>이리 와서 선대랑 같이 이야기하자!<br><%me>, 같이!"""
un_039140_0250#0,"""사라도 묻고 싶은 게 있지?<br>사양하지 말고 물어봐!<br>선대는 뭐든 대답해 줄 거야!"""
un_039140_0260#0,"""…이렇게 말하는데?"""
un_039140_0270#0,"""아하하… 뭐, 내가 대답할 수<br>있는 거라면 뭐든 이야기할게."""
un_039140_0280#0,"""…나, 이야기하는 걸 좋아하고<br>사라랑도 많이 이야기해 보고 싶었거든."""
un_039140_0300#0,"""…그래."""
un_039140_0310#0,"""그럼 바로 묻고 싶은데<br>그 옷, 마토이 취향이지?"""
un_039140_0320#0,"""푸흡!?"""
un_039140_0330#0,"""오, 그거 나도 궁금했어.<br>선대는 늘 그런 느낌의 옷이구나.<br>취향인가? 취향이구나."""
un_039140_0340#0,"""아니, 이건 샤오가<br>준비해 준 거야!<br>내가 부탁한 게 아니라!"""
un_039140_0350#0,"""그 정도로 피부를 드러내야<br>강해질 수 있는 건가?"""
un_039140_0360#0,"""아니, 그런 건 절대로…<br>…없다고 단정할 수는 없으려나.<br>대기 중의 포톤 흡수도 있고…"""
un_039140_0370#0,"""그렇구나!<br>그럼 나도 벗으면<br>훨씬 더 강해질 수 있겠네!"""
un_039140_0380#0,"""아, 안 돼 안 돼! 여자애는<br>그렇게 가볍게 피부를 드러내면<br>안 되는 거야!"""
un_039140_0390#0,"""…마토이가 말해도 설득력 없네."""
un_039140_0400#0,"""으으… 그래도<br>사라한테는 듣고 싶지 않아!"""
un_039140_0410#0,"""그러고 보니 사라는 나보다<br>피부를 더 드러내는데도 약하네.<br>…그럼 상관없는 건가."""
un_039140_0420#0,"""…너 싸움 거는 거야?"""
un_039140_0430#0,"""<%me>.<br>이런 느낌, 왠지 좋다."""
