name01#0,"""아핀"""
name02#0,"""아우로라"""
name03#0,"""유크리타"""
skit01#0,"""/toge /ci3 2 쳇! 역시나…!<br>그렇게까지 우리를 앞으로<br>못 가게 하고 싶은 거냐!"""
skit02#0,"""아니, 아마 달라.<br>내가 느끼는 무언가가<br>이걸 불러낸 건 아니야."""
skit03#0,"""이건 분명 우리를<br>낯선 존재… 침입자로 인식해서<br>나타난 거라고 생각해."""
skit04#0,"""/ci1 2 어느 쪽이든 앞으로 가려면<br>쓰러뜨리는 수밖에 없어."""
skit01#1,"""쳇! 역시나…!<br>그렇게까지 우리를 앞으로<br>못 가게 하고 싶은 거냐!"""
skit02#1,"""아니, 아마 달라.<br>내가 느끼는 무언가가<br>이걸 불러낸 건 아니야."""
skit03#1,"""이건 분명 우리를<br>낯선 존재… 침입자로 인식해서<br>나타난 거라고 생각해."""
skit04#1,"""어느 쪽이든 앞으로 가려면<br>쓰러뜨리는 수밖에 없어."""
