ra_039010_0001#0,"""A.P.239/5/1"""
ra_039010_0010#0,"""왔구나, <%me>.<br>마침 잘 와 줬어."""
ra_039010_0020#0,"""…으, 머리가 터질 것 같아."""
ra_039010_0030#0,"""그렇게 한꺼번에<br>다 넣으려 하지 않아도 괜찮아.<br>자료도 제대로 준비해 둘 테니까."""
ra_039010_0040#0,"""글자로 보면 눈이 미끄러진다고…<br>인수인계니까 제대로 하고 싶고<br>열심히 들을 테니까, 계속!"""
ra_039010_0050#0,"""아니, 이대로 계속해도 효율이 나빠.<br>일단 쉬자."""
ra_039010_0060#0,"""마침<br><%me>,<br>따로 해 둘 이야기도 있었거든."""
ra_039010_0070#0,"""해 둘 이야기?"""
ra_039010_0080#0,"""지금 우르크에게 말하던 것도 포함해서<br><%me>,<br>제대로 설명해 두고 싶어."""
ra_039010_0090#0,"""<%me>.<br>나는 아크스 관리를<br>단계적으로 내려놓으려 해."""
ra_039010_0100#0,"""연산과 예측은 계속하겠지만<br>관리는 우르크와 육망균형…<br>아크스 모두에게 맡길 생각이야."""
ra_039010_0110#0,"""중앙 관리가 위험하다는 경험도 있고<br>아크스가 홀로 서기 위해서라는<br>이유도 있지만…"""
ra_039010_0120#0,"""가장 큰 이유는 【심원의 어둠】의<br>근본적인 대책을 계산하는 일에<br>집중하고 싶기 때문이야."""
ra_039010_0130#0,"""해답이 있을지도 알 수 없는 문제야.<br>그래도 아무것도 안 할 순 없어.<br>더는 희생을 만들고 싶지 않아."""
ra_039010_0140#0,"""【심원의 어둠】을 붙들어 두는 건<br>당신의… 【가면】 덕분이야."""
ra_039010_0150#0,"""부활하려는 【심원의 어둠】을<br>당신이 억누르고 힘을 깎아 내린다."""
ra_039010_0160#0,"""힘이 약해진 【심원의 어둠】 안에서<br>【가면】이 표면으로 나와 능력을<br>써서 시간 역행을 일으킨다."""
ra_039010_0170#0,"""자신의 시간을 되감는 거야.<br>【심원의 어둠】 부활 직전까지.<br>…거기까지가 한계야."""
ra_039010_0180#0,"""그걸 반복하는 덕분에<br>【심원의 어둠】은 그 땅에<br>붙들려 있는 거야."""
ra_039010_0190#0,"""하지만 그러면 【가면】은 계속…"""
ra_039010_0200#0,"""맞아. 【가면】을 계속 희생시키는 거야.<br>게다가 이 순환이 언제까지<br>버틸지도 알 수 없어."""
ra_039010_0210#0,"""그래서 모두를 구할 방법을<br>찾기 위해, 나는 철저하게<br>연산하고 싶어."""
ra_039010_0220#0,"""…그렇다고 해도 아직<br>한바탕 일이 더 있을 것 같지만."""
ra_039010_0230#0,"""크, 큰일이야!"""
ra_039010_0240#0,"""아핀?"""
ra_039010_0243#0,"""왜 그렇게 허둥대는 거야?"""
ra_039010_0246#0,"""우선 진정해, 아핀"""
ra_039010_0250#0,"""아, 파트너도 있구나!<br>뭐라고 설명해야 할지…"""
ra_039010_0260#0,"""어, 어어어…!<br>유크 누나한테서? 아니, 어디선가?<br>나온 건가? 아니, 태어난 건가?"""
ra_039010_0270#0,"""아, 정말, 뭐라고 설명해야 할지<br>나도 잘 모르겠어!"""
ra_039010_0280#0,"""일단 이쪽으로 와 줄래?<br>보면 바로 알 테니까!<br>부탁할게, 파트너!"""
ra_039010_0290#0,"""…뭐라고 해야 할까.<br>완전 대혼란이라는 느낌이었지."""
ra_039010_0300#0,"""아핀의 바이탈은 문제없으니<br>목숨이 위험한 문제는 아닌 것 같지만<br>저렇게 당황하는 건 보통 일이 아니야."""
ra_039010_0310#0,"""누구도 모르는 새로운 미래가<br>엮이기 시작했어."""
ra_039010_0320#0,"""…내가 당신에게 맡기는 마타보드는<br>아마 이게 마지막이겠지."""
ra_039010_0330#0,"""그걸 대신해 가능성을<br>눈에 보이게 하는 방법도<br>생각 중이지만… 그건 별건인가."""
ra_039010_0340#0,"""늘 하던 대로 잘 부탁할게.<br><%me>."""
text01#0,"""<br>마타보드 『빛이 찾아와』 입수.<br>"""
