name01#0,"""アフィン"""
name02#0,"""ユクリータ"""
name03#0,"""アウロラ"""
skit01#0,"""/toge /ci3 1 結局こうなるんだよな！<br>ま、なんとなくは予想してたけどさ！"""
skit02#0,"""/toge /ci3 2 無駄口を叩いてる暇があったら<br>手を動かしなさい！\u3000アフィン！<br>死にたくなかったらね！"""
skit03#0,"""ユクちゃんてば、ほーんと弟だからって<br>アフィンには容赦無いわよね。<br>これも愛情表現の一種ってやつ？"""
skit04#0,"""/toge /ci3 1 あんたも黙る！\u3000アウロラ！"""
skit01#1,"""結局こうなるんだよな！<br>ま、なんとなくは予想してたけどさ！"""
skit02#1,"""無駄口を叩いてる暇があったら<br>手を動かしなさい！\u3000アフィン！<br>死にたくなかったらね！"""
skit03#1,"""ユクちゃんてば、ほーんと弟だからって<br>アフィンには容赦無いわよね。<br>これも愛情表現の一種ってやつ？"""
skit04#1,"""あんたも黙る！\u3000アウロラ！"""
