ra_039050_0001#0,"""A.P.239/5/6"""
ra_039050_0010#0,"""오, 파트너, 와 줬구나.<br>이쪽은 여전히 그 녀석한테<br>휘둘리기만 하는 중이야."""
ra_039050_0020#0,"""그래도 뭐<br>나쁜 일만 있는 건 아니야."""
ra_039050_0030#0,"""유크 누나는 예전 일을 신경 써서<br>다른 사람들과 벽을 세우고<br>어울리려고 하지 않으니까."""
ra_039050_0040#0,"""나 말고도 이야기할 상대가 생긴 건<br>좋은 일이라고 생각해."""
ra_039050_0050#0,"""…뭐, 대화라기보다는<br>말다툼 같은 느낌이지만."""
ra_039050_0060#0,"""그러고 보니, 난 요즘<br>아크스 쉽에 돌아가지 못했는데<br>그쪽은 괜찮아?"""
ra_039050_0070#0,"""이오랑 푸리에 씨한테 들었어.<br>함선 관리 체제를 바꾼다나 뭐라나.<br>파트너는 도와주지 않아도 돼?"""
ra_039050_0080#0,"""관리 체제를 바꾼다니, 우리 때도<br>비슷한 말을 했었지."""
ra_039050_0090#0,"""안 돼, 안 돼. 그만두는 게 좋아.<br>분명 큰일이 날 테니까.<br>이건 대선배의 충고야."""
ra_039050_0100#0,"""그러고 보니, 어쩐지 너한테서<br>시온의 향이 나네."""
ra_039050_0110#0,"""시온은 어떻게 지내?<br>잘 있어?"""
ra_039050_0113#0,"""시온은 이제 없어"""
ra_039050_0116#0,"""샤오라면 있어"""
ra_039050_0120#0,"""뭐, 시온이 없어?<br>없어져 버렸다고?"""
ra_039050_0130#0,"""복사본 같은 아이가 있어?<br>하지만 시온은 없는 거지.<br>…그렇구나."""
ra_039050_0140#0,"""샤오? 그게 누군데?<br>시온의 복사본 같은 존재?<br>시온은 없어져 버린 거야?"""
ra_039050_0150#0,"""그렇구나… 시온이<br>없어져 버렸구나.<br>…그렇구나."""
ra_039050_0160#0,"""시온의 복사본을 만들어도<br>그건 시온이 아니니까.<br>시온은 이제 없는 거구나…"""
ra_039050_0170#0,"""아, 이런저런 게 떠오르네.<br>우리도 시온의 복사본을<br>만들려고 했었지."""
ra_039050_0180#0,"""그리고 그때마다 실패했어."""
ra_039050_0190#0,"""이건 포토너 문명 말기의 이야기야."""
ra_039050_0200#0,"""포토너는 전 우주로 세력을 넓히며<br>너무 커진 조직의 관리를 맡기려고<br>시온의 복사본을 만들려 했어."""
ra_039050_0210#0,"""처음 만든 건 성능이 완벽했어.<br>하지만 전혀 제어할 수 없는 실패작이라<br>결국 아공간에 버려 버렸지."""
ra_039050_0220#0,"""아공간이든 이차원이든 모르겠지만<br>쓰레기 버리듯이…<br>멋대로도 참 멋대로네, 너희."""
ra_039050_0230#0,"""그러게.<br>나도 그렇게 생각해."""
ra_039050_0240#0,"""그래서 벌을 받은 거겠지, 분명."""
ra_039050_0250#0,"""몇 번이나 실패를 거듭하다가<br>마침내 제어할 수 있을 듯한 성공작이<br>완성됐다고 생각했는데…"""
ra_039050_0260#0,"""그 시대 포토너의 악의니<br>욕망이니 하는 것들의 영향을<br>잔뜩 받아 버려서…"""
ra_039050_0270#0,"""…【심원의 어둠】이 됐어."""
ra_039050_0280#0,"""그런 거야.<br>사람의 욕망과 악의는 정말 추해.<br>결국 사람은 그런 존재일 뿐이야."""
ra_039050_0290#0,"""…너는 어떻게<br>그렇게까지 알고 있는 거야?<br>전부 네가 지시한 일이야?"""
ra_039050_0300#0,"""내가 지시를?<br>하하, 그럴 리 없잖아.<br>난 그런 일엔 관심 없었어."""
ra_039050_0310#0,"""내 머릿속에는 단 하나뿐이었어.<br>아름다움을 갈고닦는 것뿐."""
ra_039050_0320#0,"""전 우주의 남자를 매혹한<br>포토너 최고의 미녀.<br>미의 여신이라고까지 불린 여자."""
ra_039050_0330#0,"""군인이든 정치가든<br>남자라면 내 앞에서는 녹아내렸지."""
ra_039050_0340#0,"""나 같은 하룻밤 상대에게는<br>푸념이나 비밀을 술술 털어놓거든."""
ra_039050_0350#0,"""정말 별 얘기를 다 들었어.<br>듣고 싶은 것도, 듣고 싶지 않은 것도<br>한꺼번에 아주 많이, 말이야."""
ra_039050_0360#0,"""귀를 막고 싶어질 만큼<br>추악한 권력 다툼 이야기.<br>악의밖에 담기지 않은 말들."""
ra_039050_0370#0,"""남을 끌어내릴 생각뿐인<br>사람의 추함이란… 정말 말도 못 해."""
ra_039050_0380#0,"""물론 나도 내<br>경쟁자가 될 만한 여자들을<br>끌어내리려고 필사적이었지만."""
