ra_039030_0001#0,"""A.P.239/5/1"""
ra_039030_0010#0,"""최초의 어프렌티스…<br>아니, 아우로라라는 여성이<br>유크리타 안에서 나왔구나."""
ra_039030_0020#0,"""선뜻 믿기 어렵지만<br>실제로 나왔으니까."""
ra_039030_0030#0,"""게다가 요즘은 이런<br>믿기 힘든 일만 벌어지고 있으니<br>불가능한 이야기…는 아니려나."""
ra_039030_0040#0,"""유크리타와 이어져 있다고<br>말한 이상<br>섣불리 손대기도 어렵지."""
ra_039030_0050#0,"""흠.<br>제법 말하는 법을<br>아는 상대잖아."""
ra_039030_0060#0,"""참 편하게 말하네, 샤오 군.<br>문제가 늘었다는 얘기잖아?"""
ra_039030_0070#0,"""문제라고 단정할 수도 없어.<br>어쩌면 그녀에게서<br>유익한 정보를 얻을지도 몰라."""
ra_039030_0080#0,"""<%me>.<br>그녀가 그렇게 말했지?<br>자기는 원초의 어프렌티스라고."""
ra_039030_0090#0,"""그 말은, 맨 처음<br>포토너가 만들어 낸<br>【심원의 어둠】을 아는 존재란 뜻이야."""
ra_039030_0100#0,"""…아, 그렇구나! 그때의<br>【심원의 어둠】 정보를 얻으면<br>쓰러뜨릴 방법도 알 수 있겠네!"""
ra_039030_0110#0,"""포토너도 봉인하는 게 한계였으니<br>지나친 기대는 안 하지만, 그래도<br>헛되지는 않을 거야."""
ra_039030_0120#0,"""하지만 정보를 모으는 중요한 일을<br>아핀 혼자에게 맡기기엔<br>조금 불안하네."""
ra_039030_0130#0,"""…으음, 그럴지도.<br>막상 때가 오면<br>허둥지둥 당황할 것 같고."""
ra_039030_0140#0,"""그러니 이번에도 부탁할게<br><%me>."""
ra_039030_0150#0,"""괜찮아, 괜찮아.<br>분명 해낼 수 있어!"""
