ra_039040_0001#0,"""A.P.239/5/4"""
ra_039040_0010#0,"""어머, 당신이네.<br>또 와 줬구나, 기뻐."""
ra_039040_0020#0,"""유크도 저쪽 꼬마도<br>계속 뚱한 얼굴이라 재미없거든."""
ra_039040_0030#0,"""이 행성도 재미없어.<br>온통 모래, 모래, 모래. 쓸쓸한 행성."""
ra_039040_0040#0,"""여기, 리리파라고 했던가.<br>으으음? 그런 행성을<br>지배한 적이 있었나?"""
ra_039040_0050#0,"""그보다 대답해, 【약인】.<br>아까 말한 【심원의 어둠】이<br>「또」 나타났다는 게 무슨 뜻이야."""
ra_039040_0060#0,"""어프렌티스가 아니라, 아우로라야.<br>틀리지 말아 줘, 유크."""
ra_039040_0070#0,"""말 그대로의 뜻이잖아.<br>우리 포토너 시대에 태어난<br>【심원의 어둠】 이야기, 알지?"""
ra_039040_0080#0,"""맞아, 【심원의 어둠】은 우리<br>포토너가 만들어 낸 것.<br>그게 태어났을 땐 정말 난리였지."""
ra_039040_0090#0,"""그런 게 태어날 줄은 예상 밖이었어.<br>다들 허둥대며 대책을 생각했고<br>어떻게든 봉인에 성공했다는 거지."""
ra_039040_0100#0,"""봉인이라니, 그런 말도 안 되는 걸<br>어떻게 봉인한 거야."""
ra_039040_0110#0,"""응? 글쎄.<br>분명 남에게 들은 얘기로는…"""
ra_039040_0120#0,"""【심원의 어둠】은<br>포톤을 쓰는 존재를 적으로 보고<br>끝까지 쫓아가 없애려 해."""
ra_039040_0130#0,"""그래서 어떤 한 사람에게<br>포톤을 전부 떠넘겨 봉인했어.<br>【심원의 어둠】과 함께."""
ra_039040_0140#0,"""한 사람에게 떠넘겨 봉인했다니…<br>뭐야 그게, 진짜야?"""
ra_039040_0150#0,"""나는 관심도 없었고, 경위도<br>잘 모르지만, 가깝게 지냈던<br>제독님이 말했으니 틀림없어."""
ra_039040_0160#0,"""…최악이네."""
ra_039040_0170#0,"""최악? 어디가? 최선의 방법이잖아.<br>단 한 사람을 희생하는 것만으로<br>나머지를 구할 수 있었으니까."""
ra_039040_0180#0,"""제법 모범생 같은 소리를<br>하네, 유크으?<br>전 【약인】이었던 주제에."""
ra_039040_0190#0,"""모범생… 그럴지도.<br>내가 【약인】이었을 때라면<br>아무렇지도 않았을 거야."""
ra_039040_0200#0,"""그런데 지금은 분노마저 느껴져."""
ra_039040_0210#0,"""…역시 나는<br>기억뿐 아니라 마음까지<br>조종당하고 있었던 거네."""
ra_039040_0220#0,"""…………"""
ra_039040_0230#0,"""…뭐 봉인했다고는 해도<br>그 뒤 다크 펄스한테 산산조각<br>났으니, 설득력은 없지만."""
ra_039040_0240#0,"""…그러게."""
ra_039040_0250#0,"""이 근처는 이제 질렸어.<br>다음 장소로 가자."""
