ra_039060_0001#0,"""A.P.239/5/8"""
ra_039060_0010#0,"""음, 사람의 욕망과 악의라…<br>그게 끝이 없다는 말에는<br>반박하기 어렵네."""
ra_039060_0020#0,"""나한테도 어느 정도는<br>욕심이 있으니까."""
ra_039060_0030#0,"""어떤 선례나 교훈도 시간이 지나면<br>희미해지고 잊혀져 가지."""
ra_039060_0040#0,"""포토너가 걸었던 길을<br>아크스가 걸을지도 모른다는 건<br>부정할 수 없네."""
ra_039060_0050#0,"""음, 그럼 어떻게 할까?<br>관리 넘기는 건 그만둘까?"""
ra_039060_0060#0,"""아우로라가 말한 건<br>가능성일 뿐, 확정된 미래가 아니야."""
ra_039060_0070#0,"""그녀는 포토너였을 때<br>줄곧 추한 세상을 봐 왔으니<br>사람의 가능성을 믿지 못하는 거야."""
ra_039060_0080#0,"""나는 사라와 너희를 만나고<br>함께 걸어왔으니, 사람의 가능성을<br>믿을 수 있어."""
ra_039060_0090#0,"""뭐, 그렇지.<br>【심원의 어둠】에게서 마토이를<br>구해 낼 정도니까."""
ra_039060_0100#0,"""앞날을 알 수 없으니까<br>미래는 즐거운 거야."""
ra_039060_0110#0,"""시온은 그렇게 말했어.<br>나도 그렇게 생각해."""
ra_039060_0120#0,"""그러니 우리는<br>마음 가는 대로 나아가자."""
ra_039060_0130#0,"""그게 옳은지 틀린지는<br>분명 미래가 보여 줄 거야."""
ra_039060_0140#0,"""그것이야말로<br>시온조차 알 수 없는<br>미래의 형태야."""
ra_039060_0150#0,"""자, 그럼 나도<br>조금 더 힘내야겠네."""
ra_039060_0160#0,"""포토너와 같은 실수를 반복하지 않으려면<br>제대로 공부해 둬야지.<br>그럼, 두 사람 다 또 보자."""
ra_039060_0170#0,"""…그건 그렇고<br><%me>."""
ra_039060_0180#0,"""한동안 아우로라를 지켜보면서…<br>아니, 리리파를 돌아보면서<br>뭔가 이상한 점은 없었어?"""
ra_039060_0190#0,"""【심원의 어둠】이 부활한 뒤로<br>행성 리리파의 포톤 계수가<br>계속 높은 수치를 보이고 있어."""
ra_039060_0200#0,"""지금 당장 특별히 무슨 일이<br>일어나고 있는 건 아닌 것 같지만…"""
ra_039060_0210#0,"""이번 일은 무언가의 전조일지도 몰라.<br>조금만 더 감시를 부탁할게."""
