un_039130_0001#0,"""A.P.239/5/4"""
un_039130_0010#0,"""아, 저기, 두 사람…?"""
un_039130_0020#0,"""…이런 데서 뭐 하는 거야<br>클라리스 클레이스.<br>너 나베리우스로 출격했잖아."""
un_039130_0030#0,"""흥, 그건 내가 할 말이다.<br>사라도 나베리우스로 출격했다고<br>보고가 있었잖아."""
un_039130_0040#0,"""난 이미 볼일이 끝났어.<br>여기 있어도 아무 문제 없잖아?"""
un_039130_0050#0,"""나도 그렇거든!<br>나는 선대에게 볼일이 있다."""
un_039130_0060#0,"""공교롭게 됐네.<br>나도 마토이에게 볼일이 있거든."""
un_039130_0070#0,"""그보다 너, 선대 선대 하면서<br>이제 슬슬 마토이를<br>이름으로 불러 줘."""
un_039130_0080#0,"""선대는 선대니까 문제없거든.<br>사라야말로 이름만 부르면 실례 아니냐?"""
un_039130_0090#0,"""상관없잖아.<br>마토이가 싫어하지 않으니까."""
un_039130_0100#0,"""모르는 일이지?<br>싫어할지도 모르지?<br>그렇지, 선대?"""
un_039130_0110#0,"""그렇게 따지면 네 호칭도<br>말만 안 할 뿐 싫어할지도<br>모르잖아. 그렇지, 마토이?"""
un_039130_0120#0,"""…아, 그러니까, 나는<br>이름으로 불러도, 선대라고 불려도<br>둘 다 괜찮을까나, 싶은데…"""
un_039130_0130#0,"""분명히 해!"""
un_039130_0140#0,"""분명히 해!"""
un_039130_0150#0,"""미, 미안해!"""
un_039130_0160#0,"""으으, 왜 내가 혼난 거지…?"""
un_039130_0170#0,"""…아<br><%me>!<br>도와줘! 뭐가 뭔지 모르겠어!"""
un_039130_0180#0,"""…뭐 하는 거야?"""
un_039130_0190#0,"""…두 사람, 다른 목적이 있는 거 아냐?"""
un_039130_0200#0,"""나도 모르겠어.<br>두 사람이 동시에 나한테 와서는<br>갑자기 말다툼을 시작해서…"""
un_039130_0210#0,"""…두 사람의, 목적?"""
un_039130_0220#0,"""…아."""
un_039130_0230#0,"""…아."""
un_039130_0240#0,"""맞아, 맞아, 그랬지.<br>이런 바보랑 말다툼하러<br>온 게 아니었어."""
un_039130_0250#0,"""나도 싸우러 온 게 아니다.<br>사라가 멋대로 물고 늘어졌을 뿐이다."""
un_039130_0260#0,"""그러니까, 두 사람 다<br>나한테 볼일이 있다는 거지?<br>…내가 뭔가 잘못했나?"""
un_039130_0270#0,"""그, 그런 건 아니야!"""
un_039130_0280#0,"""맞아, 선대는 아무 잘못도 없어!"""
un_039130_0290#0,"""그럼… 뭐지…?"""
un_039130_0300#0,"""이거!"""
un_039130_0310#0,"""이걸!"""
un_039130_0320#0,"""…이거, 나베리우스에 피는 꽃?"""
un_039130_0330#0,"""하필이면<br>이 애랑 겹치다니…!"""
un_039130_0340#0,"""열심히 생각했는데…!"""
un_039130_0350#0,"""…두 사람 다, 왜 이걸."""
un_039130_0360#0,"""아, 그러니까, 마토이에게는<br>도움받기만 했으니까 뭔가 감사의 뜻을<br>형태로 전하고 싶어서…"""
un_039130_0370#0,"""하지만 뭘 줘야 할지 몰라서<br>좋아할 만한 걸 생각했을 때…<br>이게 떠올랐어."""
un_039130_0380#0,"""사실은 더 제대로 된 걸<br>줘야 한다고도 생각했지만…"""
un_039130_0390#0,"""그런 것보다…<br>이게 좋지 않을까 싶어서…"""
un_039130_0400#0,"""나, 이 꽃 정말 좋아해.<br>그렇지, <%me>?"""
un_039130_0410#0,"""…고마워, 두 사람 다.<br>나, 정말 기뻐."""
un_039130_0420#0,"""…하지만 가장 기쁜 건<br>두 사람의 마음이야."""
un_039130_0430#0,"""정말 따뜻해서…<br>고마워."""
