un_039110_0001#0,"""A.P.239/5/3"""
un_039110_0010#0,"""오오, 네놈이냐!<br>건강해 보여서 다행이다!"""
un_039110_0020#0,"""하지만 무리는 금물이다.<br>무려 【심원의 어둠】이라는 게<br>부활해 버렸으니까."""
un_039110_0030#0,"""우리도 거기에 맞설 태세를<br>갖춰 가고는 있지만…<br>아직은 네놈과 선대에게 의지해야 한다."""
un_039110_0040#0,"""그러니 몸은 충분히 돌봐라.<br>제대로 먹고, 제대로 쉬는 것.<br>그게 중요하다고 휴이도 말했다."""
un_039110_0050#0,"""…네놈도, 선대도<br>혼자 너무 많이 떠안으니까.<br>가끔은 푹 쉬어 줬으면 한다."""
un_039110_0060#0,"""그런데 네놈, 지금은 혼자인가?<br>설마 선대가 따라온 건 아니겠지?"""
un_039110_0070#0,"""…그렇다면 마침 잘됐다.<br>묻고 싶은 게 있었다."""
un_039110_0080#0,"""네놈은 선대와…<br>마토이와 아주 사이가 좋지?"""
un_039110_0090#0,"""그러니 알려 줬으면 한다.<br>선대는 어떤 선물을 받으면 기뻐하지?"""
un_039110_0100#0,"""나는 선대와 여러 가지, 아주 많이<br>이야기해 보고 싶은 게 있는데<br>말을 거는 방법이 떠오르지 않아서…"""
un_039110_0110#0,"""뭔가 계기가 될 만한 게<br>있으면 좋겠다고 생각했을 때<br>떠오른 게 선물이었을 뿐이다."""
un_039110_0120#0,"""그리고 무사히 돌아온 걸<br>축하하는 의미도 있어서… 그…"""
un_039110_0130#0,"""그 마음만으로도 기뻐할 거야"""
un_039110_0140#0,"""네가 받으면 기쁠 만한 건 어때?"""
un_039110_0150#0,"""…그건 그럴지도 모르지만.<br>으음, 뭘 줘야 하는 걸까."""
un_039110_0160#0,"""내가 받으면 기쁠 만한 것이라든가…?<br>으음, 으으음…"""
un_039110_0170#0,"""…내가 받으면 기쁜 것, 인가.<br>그렇군, 확실히 그럴지도 모르겠다.<br>내가 받으면 기쁜 건…"""
un_039110_0180#0,"""…응.<br>조금 알 것 같은 기분이 든다.<br>역시 상담해 보길 잘했다."""
un_039110_0190#0,"""이야기를 들어 줘서 고맙다.<br>그럼, 또 보자!"""
