name_7746#0,"""Artie"""
ssn_015180_0001#0,"""Been making use of those Advanced Trainia?"""
ssn_015180_0002#0,"""You've got some serious skill. You should make a point of<br>trying to hone your abilities."""
ssn_015180_0101#0,"""Hey, great timing. I've got something I want to talk to you about."""
ssn_015180_0102#0,"""Remember how I had you take on Cannonball Rumble?"""
ssn_015180_0103#0,"""Well, that's actually not the only Advanced Trainia out there."""
ssn_015180_0104#0,"""Well? Have I piqued your interest?"""
ssn_015180_0201#0,"""In Cannonball Strike, the timing of your throws is vital."""
ssn_015180_0202#0,"""Good luck."""
ssn_015180_0301#0,"""Alright. See you around, then."""
ssn_015180_0401#0,"""Been making use of those Advanced Trainia?"""
ssn_015180_0402#0,"""I'm expecting great things from you. Keep striving to improve yourself!"""
