name_7746#0,"""อาร์ตี้"""
ssn_015185_0001#0,"""รู้จักเกี่ยวกับศูนย์ฝึก Advanced Trainia ที่ Kvaris บ้างไหม?"""
ssn_015185_0002#0,"""เขาว่ากันว่ามี Trainia สำหรับพวก ARKS ระดับสูงอยู่ด้วยนะ"""
ssn_015185_0003#0,"""ฟังดูคล้ายๆ กับศูนย์ฝึก Trinitas ที่ Retem เลยว่าไหม?"""
ssn_015185_0101#0,"""เฮ้ ขอบใจที่มานะ"""
ssn_015185_0102#0,"""รู้จักเกี่ยวกับศูนย์ฝึก Advanced Trainia ที่ Kvaris บ้างไหม?"""
ssn_015185_0103#0,"""มันก็เหมือนศูนย์ฝึกแบบโลกเสมือนจริงทั่วๆ ไปนั่นแหละ แต่มีลูกเล่นแปลกๆ อยู่นิดหน่อย"""
ssn_015185_0104#0,"""ดูเหมือนว่าพวกบรรพบุรุษ ARKS ที่ Kvaris จะใช้เมื่อนานมาแล้วล่ะนะ แต่... ศูนย์ฝึกพวกนั้นก็ยังเปิดใช้งานอยู่แน่นอน"""
ssn_015185_0105#0,"""ถ้าสนใจ จะให้เล่าให้ฟังไหมล่ะ?"""
ssn_015185_0201#0,"""ใน Cannonball Rumble ทีมเวิร์คน่ะสำคัญมากนะ"""
ssn_015185_0202#0,"""ควรจะไปลองดูให้ได้นะ"""
ssn_015185_0301#0,"""เอาล่ะ ไว้เจอกันใหม่นะ"""
ssn_015185_0401#0,"""รู้สึกยังไงกับ Advanced Trainia บ้างล่ะ?"""
ssn_015185_0402#0,"""มีฝีมือไม่เบาเลยนะ น่าจะหาเวลา<br>พยายามฝึกฝนความสามารถของตัวเองไว้บ้างนะ"""
