IncidentName#0,"""Kill every Magatsu!"""
TrialBeginMsg#0,"""Defeat every Magatsu within the time limit!"""
TrialAbstract#0,"""Defeat every Magatsu within the time limit!"""
NpcComOnBegin#0,"""This is a directive to all machine operators. Your objective is to destroy all targets within the time limit. Good hunting!"""
NpcComOnMge1Hp50#0,"""The target's stamina has fallen.<br>Please continue your assault."""
NpcComOnMge1Hp10#0,"""The target has little stamina<br>remaining. Continue as you<br>are and bring it down."""
NpcComOnMge1Dead#0,"""Confirming subjugation of the target.<br>...No, wait... Picking up a high-energy<br>reading from Magatsu! No way!"""
NpcComOnMge2Hp50#0,"""The target's stamina has fallen,<br>but don't get complacent."""
NpcComOnMge2Hp10#0,"""The target has little<br>stamina remaining. Press<br>the assault and finish it off."""
NpcComOnMge2Dead#0,"""Confirming target defeated.<br>...No, seems like it isn't over<br>yet. Stay vigilant."""
NpcComOnMge3Attack#0,"""Detecting a high-energy<br>reading within the target!<br>All units, <red>take evasive action<black>!"""
NpcComOnMge3Hp50#0,"""Target's strength is falling.<br>All units, keep up the attack!"""
NpcComOnMge3Hp10#0,"""The target's strength is very low.<br>Let's push through and finish this!"""
NpcComOnSuccess#0,"""...We've confirmed that Magatsu has<br>disappeared. With this, your mission<br>is complete. Thank you very much."""
NpcComOnBegin#1,"""＊"""
NpcComOnMge1Hp50#1,"""＊"""
NpcComOnMge1Hp10#1,"""＊"""
NpcComOnMge1Dead#1,"""＊"""
NpcComOnMge2Hp50#1,"""＊"""
NpcComOnMge2Hp10#1,"""＊"""
NpcComOnMge2Dead#1,"""＊"""
NpcComOnMge3Attack#1,"""＊"""
NpcComOnMge3Hp50#1,"""＊"""
NpcComOnMge3Hp10#1,"""＊"""
NpcComOnSuccess#1,"""＊"""
NpcComOnBegin#2,"""＊"""
NpcComOnMge1Hp50#2,"""＊"""
NpcComOnMge1Hp10#2,"""＊"""
NpcComOnMge1Dead#2,"""＊"""
NpcComOnMge2Hp50#2,"""＊"""
NpcComOnMge2Hp10#2,"""＊"""
NpcComOnMge2Dead#2,"""＊"""
NpcComOnMge3Attack#2,"""＊"""
NpcComOnMge3Hp50#2,"""＊"""
NpcComOnMge3Hp10#2,"""＊"""
NpcComOnSuccess#2,"""＊"""
NpcComOnBegin#3,"""＊"""
NpcComOnMge1Hp50#3,"""＊"""
NpcComOnMge1Hp10#3,"""＊"""
NpcComOnMge1Dead#3,"""＊"""
NpcComOnMge2Hp50#3,"""＊"""
NpcComOnMge2Hp10#3,"""＊"""
NpcComOnMge2Dead#3,"""＊"""
NpcComOnMge3Attack#3,"""＊"""
NpcComOnMge3Hp50#3,"""＊"""
NpcComOnMge3Hp10#3,"""＊"""
NpcComOnSuccess#3,"""＊"""
NpcComOnBegin2S#0,"""よく聞くのじゃ。<br>これから「唱結界」の力で<br>『禍津』を浄化する準備を始める。"""
NpcComOnBegin3S#0,"""そなたらは『禍津』を「唱結界」の内に<br>留めおいてくれ。<br>無論、倒してしまっても構わんぞ。"""
NpcComOnMge1Hp90S#0,"""この『禍津』の力は偏っておるな。<br>この器の弱点は<red>射撃<black>のようじゃ。"""
NpcComOnMge2Begin2S#0,"""あれは『禍津』の魂じゃ。<br>身体など、ヤツにとってはただの器。<br>砕いても、魂までは浄化できん。"""
NpcComOnMge2Begin3S#0,"""だが、器がなければ何も出来ぬ。<br>そなたらはこのまま戦いを続けよ。<br>『禍津』の魂は、わらわが封じる。"""
NpcComOnMge2Hp90S#0,"""こやつも偏りがあるようじゃ。<br>この器には<red>斬撃<black>で対抗せよ。"""
NpcComOnMge3Begin2S#0,"""『禍津』も本気のようじゃな。<br>倒すには骨が折れるであろうが<br>ヤツの消耗も大きいはずじゃ。"""
NpcComOnMge3Begin3S#0,"""この器を倒せば、時を待たずとも<br>「唱結界」で浄化ができるであろう。<br>……頼むぞ。"""
NpcComOnMge3Hp90S#0,"""こやつの<red>両膝<black>、<red>両肩<black>、<red>腹部<black>と<red>頭部<black>に<br>力が集まっておるようじゃ。<br>それを壊せば有利に事を運べよう。"""
NpcComOnTimeOut0Mge1S#0,"""ち、逃げられてしまったな。<br>だがまあ、ヤツの魂は削れた。<br>まずまずの結果じゃろう。"""
NpcComOnTimeOut0Mge2S#0,"""『禍津』を押さえ込めたのは<br>そなたらの尽力あってこそ。<br>感謝を述べるぞ。"""
NpcComOnTimeOut1Mge1S#0,"""ち、逃げられてしまったな。<br>だが、ヤツの魂は相当削っておいた。<br>上々の結果じゃな。"""
NpcComOnTimeOut1Mge2S#0,"""『禍津』を押さえ込めたのは<br>そなたらの尽力あってこそ。<br>感謝を述べるぞ。"""
