Title#0,"""Annihilator Purification"""
Explanation#0,"""The fragment of Magatsu that appeared<br>on planet Harkotan has been successfully<br>contained within the Sealed Grounds.<br>Enter the Sealed Grounds and purify<br>the imprisoned Magatsu's spirit.<br>In this mission, you will be have access to<br>limited numbers of the new improved A.I.S.<br>Use all your power to destroy Magatsu.<br>――――――――――――――――――――<br>Automatically clears after 7 minutes"""
SimpleExplanation#0,"""Defeat Magatsu!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""You're about to be transferred<br>to the Sealed Grounds, where<br>Magatsu was originally imprisoned."""
NpcComMsg2#0,"""Our enemy has the power<br>to destroy an entire planet.<br>Please note that we can only<br>keep you within the Sealed<br>Grounds for a limited time."""
NpcComMsg3#0,"""However, if you use the<br>full power of the A.I.S., you<br>should be able to defeat it.<br>...Be sure to come back alive."""
CaptionName_MgeKillNum#0,"""Enemy Kills"""
