un_020200_0010#0,"""네~네네<br>파티예요~!"""
un_020200_0020#0,"""오늘도 또, 막 입수한<br>신선한 정보를 제공해 줄게요~!<br>무료예요 무료~ 들러 주세요!"""
un_020200_0030#0,"""…나 요즘 독립하는 편이<br>더 좋지 않을까 싶어졌어.<br>이래선 정보상 하는 의미가 없잖아."""
un_020200_0040#0,"""안녕하세요, 티아입니다.<br>설명할 필요도 없이<br>조사한 건 저예요."""
un_020200_0050#0,"""야 티아, 쪼잔하게 굴면<br>안 된다고 했잖아."""
un_020200_0060#0,"""정보란 건, 널리 퍼져야<br>비로소 가치가 생기는 법이거든."""
un_020200_0070#0,"""자, 이번에는… 아니, 이번에도<br>창세기에 대해 조사해 봤어!"""
un_020200_0080#0,"""저번에 조사했던 클라리사에 대한 게<br>생각보다 재밌었거든~"""
un_020200_0090#0,"""타깃은… 바로,<br>그 레기아스가 소유한 요노하테!"""
un_020200_0100#0,"""레기아스가 휘두르는<br>커다란 상자 같은 무기!"""
un_020200_0110#0,"""소드라고 생각했지?<br>아쉽게도, 카타나였습니다!"""
un_020200_0120#0,"""지금까지 레기아스만 썼던<br>새로운 무기 종류래~!"""
un_020200_0130#0,"""정확히 말하면, 레기아스는<br>요노하테를 견제 목적으로 들고 다니려고<br>진정한 힘을 봉인하고 있대."""
un_020200_0140#0,"""게다가 무기 종류를 바꿔 등록하고<br>억지로 소드처럼 사용해야<br>딱 적당한 정도가 된대."""
un_020200_0150#0,"""본래의 모습은 아무도 모른대.<br>뽑는 순간, 끝이야. 세상이 끝나.<br>그래서 이름이 요노하테야."""
un_020200_0160#0,"""과, 과대광고는 안 좋다니까…<br>이건 뭐, 행성 하나쯤은<br>가볍게 베어 버릴 기세네."""
un_020200_0170#0,"""대체 누구야 누구!<br>그런 무시무시한 걸 만든 사람이~!"""
un_020200_0180#0,"""…진짜 누굴까.<br>조금 궁금해지네."""
