un_020570_0010#0,"""…아, 안녕하세요.<br><%me> 씨."""
un_020570_0020#0,"""…조금 알아봤어요<br>선생님의 가르침대로…<br>계속 마음에 걸렸던 것들을요.<br>기관에 대한 걸."""
un_020570_0030#0,"""더욱 견고한 아크스를 위해<br>다양한 생명의 진화를 연구한다.<br>그게 바로, 허공기관의<br>표면적인 목적이에요."""
un_020570_0040#0,"""연구 성과는 아크스에게 반영되어<br>더 많은 연구의 초석이 된다.<br>허공으로… 전지에 이르기 위해."""
un_020570_0050#0,"""하지만, 그걸 위해서라면<br>어떠한 수단과 방법을 가리지 않아요.<br>…올바름과는 정반대에 있는 조직이에요."""
un_020570_0060#0,"""듀먼 뿐만이 아니라<br>다른 종족의 조성도, 얼마 전의 폭주룡도<br>희생을 신경쓰지 않는 연구가 있었기에…"""
un_020570_0070#0,"""선생님은, 그래서 저에게 계속<br>살아있는 생명의 소중함을<br>말씀해주셨던 거겠죠."""
un_020570_0080#0,"""제가 스파이라는 걸 아시면서도<br>제가 하는 일의 옳고 그름을<br>스스로 판단할 수 있도록…"""
un_020570_0090#0,"""정말 서투르신 분이죠.<br>확실하게 말하지 않고, 행동으로<br>보여주시려고 하고."""
un_020570_0100#0,"""그저 한마디만, 기관 같은 건<br>그만두고 날 따라라<br>라고 말씀해 주셨다면<br>저는 언제라도 따랐을 텐데…"""
un_020570_0110#0,"""하하, 제가 한 말은<br>전부 기밀 정보예요."""
un_020570_0120#0,"""조사한 걸 들키면<br>저도 무사하지는 못하겠죠.<br>분명 선생님도, 똑같으셨겠죠."""
un_020570_0130#0,"""…들어주셔서<br>감사합니다.<br>조금은 마음이 편해졌어요."""
