un_020190_0010#0,"""네~네네<br>파티입니다!"""
un_020190_0020#0,"""음… 이 인사는<br>전에도 한 것 같은데…"""
un_020190_0030#0,"""그런 걸<br>신경 쓰고 있었어…<br>아, 안녕하세요. 티아입니다."""
un_020190_0040#0,"""뭐~ 그건 그렇고<br>예전에 네가 신경 쓰던<br>그거에 대해서 조사해 왔어~!"""
un_020190_0050#0,"""그게 뭐냐면… 그, 있잖아 그거!<br>엄청 커다라고 강하고<br>엄청난 그거!"""
un_020190_0060#0,"""클라리스 클레이스가 가지고 있던<br>클라리사라는 거."""
un_020190_0070#0,"""그래 그거!<br>로드형 창세기, 백석 클라리사!"""
un_020190_0075#0,"""신경 쓰고 있었지?<br>신경 쓰고 있던 사람이 바로 당신이지?<br>뭐 됐나, 들어봐 들어봐~!"""
un_020190_0080#0,"""딱 봐도 아름다운 순백의 프레임을 가지고<br>휘두르는 그 모습은 마치 빛의…<br>어라? 흰색이었나?"""
un_020190_0090#0,"""…그게 눈에 띄어서<br>알아봤던 거 아니야.<br>이제 파티는 조용히 해."""
un_020190_0100#0,"""클라리사의 행방이 궁금한데…<br>아무래도 10년 전에 분실된 모양이야."""
un_020190_0110#0,"""그래서, 이번 클라리스 클레이스가<br>소지하고 있는 건, 모조품이야."""
un_020190_0120#0,"""하지만, 모조품이라고 해서<br>뒤떨어진 취급을 하기엔 엄청나대.<br>…직접 체감을 해봤었고."""
un_020190_0130#0,"""뭐니 뭐니 해도 창세기 중에서도<br>클라리사는 상당이 특별한 것인데<br>주인을 선택한 댔나 뭐랬나…"""
un_020190_0140#0,"""주인을 선택한다니, 지팡이가<br>살아 있는 건가!<br>지팡이가 말을 걸고 그러나!"""
un_020190_0150#0,"""…확실히 클라리스 클레이스는<br>지팡이와 대화하는 모습이<br>목격되고 있는 것 같은데."""
un_020190_0160#0,"""「힘을 원하는가…?<br>원한다면… 잘 들어라!」<br>라고 했던가?"""
un_020190_0170#0,"""왜 그렇게 당당해?"""
un_020190_0180#0,"""클라리스 클레이스가<br>당당해 보였으니까."""
un_020190_0190#0,"""…말하는 게 좀 묘하네."""
