un_020430_0010#0,"""어라, 안녕.<br>누군가 했더니만 당신이구나."""
un_020430_0020#0,"""으음, 또 하나 기척을<br>느낀 것 같았는데.<br>뭐, 됐나."""
un_020430_0030#0,"""느긋하게 수다나 떨고 싶지만<br>아쉽네, 오늘은 선약이 있어서 말이지."""
un_020430_0040#0,"""어이, 아자나미.<br>멋대로 앞서가지 말라고 했잖아."""
un_020430_0050#0,"""음…! 너, 너는…<br>이런 곳에서 만나다니, 우연이군."""
un_020430_0060#0,"""나, 나는 이 녀석의 부탁을 받고<br>파티를 하고 있을 뿐이다."""
un_020430_0070#0,"""라는 핑계로 하는 데이트예요~."""
un_020430_0080#0,"""절대 아니다!"""
un_020430_0090#0,"""…으음, 그렇게까지<br>온 힘을 다해 부정하면<br>그건 그거대로 상처받을지도."""
un_020430_0100#0,"""됐으니까, 임무를 계속한다!"""
un_020430_0110#0,"""네네, 알겠어요, 선배.<br>그럼, 또 봐."""
un_020430_0120#0,"""너도 착각하지 마라.<br>그런 게 아니니까.<br>알겠나!"""
