un_020740_0010#0,"""어라어라 어머어머 당신이군요."""
un_020740_0020#0,"""잘 지내셨나요오?<br>…잘 지내신 것 같네요오.<br>무사해 보여서 다행이네요오."""
un_020740_0030#0,"""리사는 마음대로 산책 중이랍니다.<br>지금의 아크스 쉽은 그닥<br>여유로운 분위기가 아니라서요."""
un_020740_0040#0,"""지난번 다크 펄스의 부활도 그렇고<br>또 다른 긴장감이 느껴지네요."""
un_020740_0050#0,"""겉으로 드러나는 게 아니라<br>내면적으로 긴장하고 있어요.<br>긴장감이 느껴지네요."""
un_020740_0060#0,"""이것도, 옛날 먼 옛날을<br>떠올리게 하는 느낌이네요오."""
un_020740_0070#0,"""뭐, 어떤 옛날이었는지는<br>정말 전혀 하나도<br>기억나진 않지만요."""
un_020740_0080#0,"""그건 그렇고, 아아 그렇다 치고<br>부럽네요.<br>즐거워 보이네요."""
un_020740_0090#0,"""눈치채셨나요?<br>이건, 당신을 중심으로 소용돌이 치는<br>안쪽을 향한 찌릿찌릿함 이예요오."""
un_020740_0100#0,"""도대체 뭐가 있는 걸까요.<br>용아아, 부럽다 부럽다, 소용돌이 속<br>모든 것을 쏘고 쏘고 또 쏘고 싶어요…"""
un_020740_0110#0,"""그래도 그래도, 리사는 양심을<br>가지고 있으니 그런 짓은 하지 않아요.<br>안심하세요 후후훗."""
