un_020700_0010#0,"""여긴… 바닷속!?<br>꼬로로록… 수, 숨이…"""
un_020700_0020#0,"""그런 일은 안 일어나니까!<br>안심해, 파티예요!"""
un_020700_0030#0,"""안녕하세요, 티아예요.<br>이제 그냥 귀찮으니 파티는<br>무시해요. 무시, 무시."""
un_020700_0040#0,"""아니아니, 무시하지 마~!<br>무시하면 더 기어오를 거야~!"""
un_020700_0050#0,"""기어오른다는 자각은 있었구나!<br>…하아, 그럼 자, 파티<br>여기 설명이라도 해 봐."""
un_020700_0060#0,"""맡겨만 주시라!<br>여긴 행성 워팔의 지하!<br>이른바 해저 부분! 물은 없지만!"""
un_020700_0070#0,"""원래는 해저…라기보단<br>물에 잠겨 있었던 것 같지만<br>지금은 보다시피, 이어진 동굴."""
un_020700_0080#0,"""신기한 시설도 여기저기 있어서<br>현재 조사 중이지."""
un_020700_0090#0,"""그런 것 치곤 조사 결과가 하~나도<br>공표 안 되고 있지만~!"""
un_020700_0100#0,"""소통이 가능한<br>원주민이 있다는 것도 아는데<br>공지되지 않았어! 왜일까?"""
un_020700_0110#0,"""아직 공표할 시기가 아니라고 봤거나<br>처음부터 공표할 생각이 없거나…<br>어느 쪽인지는 모르겠네."""
un_020700_0120#0,"""그리고 최근 이 근처 시설이<br>파괴되고 있는 것 같아.<br>범인도 목적도 아직 몰라."""
un_020700_0130#0,"""그 파괴 활동 때문에, 가뜩이나<br>난폭한 에너미가 더 사나워져서<br>달려드니, 아주 죽겠어!"""
un_020700_0140#0,"""너도 조사에 너무 집중하다가<br>휘말리지 않도록<br>조심해~!"""
