Title#0,"""T:The Underground Nightmare"""
Explanation#0,"""We've detected readings resembling those<br>of [Apprentice] in Omega, under the desert<br>of the Kingdom of Epic.<br>Escort the Photon Particle Cannon Carrier<br>to the location of the [Apprentice] readings<br>and use it to repel whatever you find!<br>――――――――――――――――――――<br>Failure: Fail objective, time limit expires,<br>Photon Particle Cannon Carrier destroyed"""
SimpleExplanation#0,"""Defeat [Apprentice]!"""
NpcComMsg1#0,"""From here on out, we'll begin the<br>fight against Dark Falz Apprentice<br>under the Kingdom of Epic."""
NpcComMsg2#0,"""The first stage of this fight will<br>require you to escort our special<br>weapon, the \""Photon Particle<br>Cannon Carrier\"", to the final area."""
NpcComMsg3#0,"""If we can reach the final area,<br>we should be able to defeat it.<br>However, we expect a counterattack<br>while we're in there, so watch out!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
