Title#0,"""지하를 물들이는 여왕의 악몽"""
Explanation#0,"""이세계 오메가 에픽 사막 지하에서<br>【어프렌티스】로 보이는 강력한 반응 감지.<br>자주식 고출력 포톤 입자포를<br>【어프렌티스】 반응이 있는 지점까지 호송해<br>이를 사용하여 격퇴해 주세요!<br>――――――――――――――――――――<br>퀘스트 클리어 가능 횟수/$(0)회<br>실패 조건/임무 실패, 제한 시간 경과<br>자주식 고출력 포톤 입자포 파괴"""
SimpleExplanation#0,"""【어프렌티스】를 격퇴하라!"""
NpcComMsg1#0,"""지금부터 에픽 지하에 잠복 중인<br>다크 펄스 어프렌티스<br>격퇴 작전을 시작합니다."""
NpcComMsg2#0,"""작전의 첫 단계는 특수 병기<br>「자주식 고출력 포톤 입자포」를<br>최심부까지 호위하는 것입니다."""
NpcComMsg3#0,"""병기를 최심부까지 운반하면<br>목표를 쓰러뜨릴 수 있을 겁니다.<br>적의 반격도 예상되니 조심하세요."""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
