name_7303#0,"""Noan"""
ssn_019435_002_0010#0,"""Thank you for coming! Right then,<br>this is a follow-up to what we were talking about earlier."""
ssn_019435_002_0020#0,"""It seems that some special equipment made by the<br>Equipment Development Department was carried off by a kitty"""
ssn_019435_002_0030#0,"""Everyone is searching for that mischievous kitty so we can get the equipment back."""
ssn_019435_002_0040#0,"""Since you know the Aelio terrain so well,<br>I would love to ask for your help!"""
ssn_019435_002_0050#0,"""There have been sightings in various places.<br>Let's use those as leads to find it!"""
ssn_019435_002_0060#0,"""First, near the Aelio Town Ruins!"""
ssn_019435_002_0070#0,"""There's a tower with solar panels overlooking the ruins.<br>It looks like a kitty resembling our mischievous cat is on top of that tower!"""
ssn_019435_002_0080#0,"""I'm counting on you!"""
ssn_019435_002_0110#0,"""First, near the Aelio Town Ruins!"""
ssn_019435_002_0120#0,"""There's a tower with solar panels overlooking the ruins.<br>It looks like a kitty resembling our mischievous cat is on top of that tower!"""
ssn_019435_002_0130#0,"""I'm counting on you!"""
ssn_019435_002_0210#0,"""Next is North Aelio!"""
ssn_019435_002_0220#0,"""There is a deep valley between the Alto Lani Plateau and the Halphana Marshlands.<br>They say it's lying down on the very top steel beam spanning that valley."""
ssn_019435_002_0230#0,"""I'm counting on you!"""
ssn_019435_002_0310#0,"""The next location is South Aelio!<br>It seems to be near the entrance of the Cocoon at the top of Mt. Picot."""
ssn_019435_002_0320#0,"""Don't give up. Let's do our best!"""
ssn_019435_002_0410#0,"""This time, it's Lake Halphiria! There's a tent set up south of the lake,<br>and a brown cat has been spotted there!"""
ssn_019435_002_0420#0,"""I'm sure we'll get it this time!"""
ssn_019435_002_0510#0,"""Thank you so much for your help this time! I'd like you to use the special equipment to your heart's content."""
ssn_019435_002_0520#0,"""If anything else comes up,<br>I'd definitely love to ask for your help again!"""
