name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Zondeel<c>!"""
text02#0,"""Zondeel is a Lightning-attribute Technique which <red>generates an electromagnetic field that pulls nearby enemies into its center<c>."""
text03#0,"""Try gathering enemies together into one place with Zondeel!"""
text101#0,"""Task 4: <yellow>Gather enemies together with Zondeel"""
train_title#0,"""Task 4: <yellow>Gather enemies together with Zondeel"""
tut_title#0,"""Zondeel"""
text100#0,"""・Cast Zondeel with <%PhotonArts> to gather<br>\u3000all enemies into one place"""
text100_3b#0,"""・Cast Zondeel with <%PhotonArts> to gather<br>\u3000all enemies into one place"""
tut_win_title#0,"""Zondeel"""
tut_win_text100#0,"""Zondeel is a Lightning-attribute Technique which generates an electromagnetic field that pulls nearby enemies into its center.<br><br>After the initial cast, it remains in place and continues to draw enemies in for a short time.<br><br>Casting another Lightning-attribute Technique within the area of an active Zondeel causes it to explode and disappear."""
