name01#0,"""Xiera"""
text01#0,"""Next, I'll explain <red>Zanverse<c>!"""
text02#0,"""Zanverse is a Wind-attribute Technique that <red>mirrors any attacks within its area with a second Wind-attribute attack<c>."""
text03#0,"""Try casting Zanverse and using it to deal a second hit."""
text101#0,"""Task 3: <yellow>Deal additional damage with Zanverse"""
train_title#0,"""Task 3: <yellow>Deal additional damage with Zanverse"""
tut_title#0,"""Zanverse"""
text100#0,"""・Cast Zanverse with <%PhotonArts><br>・Use a Normal Attack with <%NormalAttack><br>\u3000and get a second hit from<br>\u3000Zanverse"""
text100_3b#0,"""・Cast Zanverse with <%PhotonArts><br>・Use a Normal Attack with <%NormalAttack><br>\u3000and get a second hit from<br>\u3000Zanverse"""
tut_win_title#0,"""Zanverse"""
tut_win_text100#0,"""Zanverse is a Wind-attribute Technique that adds a second Wind-based hit to all attacks within its range.<br><br>The effect remains in place for a short time after the initial cast, and you can benefit from it by entering its area of effect as long as it is active.<br><br>This effect applies to all allies."""
