name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Techter Basics\"" training course."""
text02#0,"""First, I'll explain <red>Wand Gear<c>!"""
text03#0,"""As the Wand Gear Gauge fills, <red>Tech explosions will occur<c> when you hit enemies with Normal Attacks"""
text04#0,"""Try <red>filling the Gear Gauge<c> and creating a Tech explosion."""
text101#0,"""Task 1: <yellow>Reach level 1 Gear and generate a Tech explosion"""
train_title#0,"""Task 1: <yellow>Reach level 1 Gear and generate a Tech explosion"""
tut_title#0,"""Wand Gear"""
text100#0,"""・Cast Techniques with <%PhotonArts> to fill<br>\u3000the Gear Gauge<br>・Use a Normal Attack with <%NormalAttack>"""
text100_3b#0,"""・Cast Techniques with <%PhotonArts> to fill<br>\u3000the Gear Gauge<br>・Use a Normal Attack with <%NormalAttack>"""
tut_win_title#0,"""Wand Gear"""
tut_win_text100#0,"""By learning the Class Skill \""Wand Gear\"", you can further increase the performance of your Wand.<br><br>By hitting enemies with charged Techniques, you will reach Gear 2, then Gear 3.<br><br>As your Wand Gear level rises, you will deal additional damage with Normal Attacks."""
