name_7446#0,"""Souya"""
ssn_015311_0010#0,"""เอาล่ะ ขอบใจนะ"""
ssn_015311_0020#0,"""สิ่งที่ฉันอยากให้คุณช่วยก็คือ การตรวจสอบวัตถุดิบที่อาจจะหาได้ในท้องถิ่นน่ะ"""
ssn_015311_0030#0,"""เราได้รับเสบียงจาก Central City เป็นระยะๆ แต่นั่นก็ยังไม่เพียงพอต่อความต้องการทั้งหมดหรอกนะ"""
ssn_015311_0040#0,"""เราก็เลยจำเป็นต้องรวบรวมของที่พอจะใช้งานได้ภายใน Stia เพื่อมาชดเชยส่วนนั้น"""
ssn_015311_0050#0,"""สิ่งที่ฉันสนใจอยู่ตอนนี้ก็คือข่าวลือเกี่ยวกับ 'กล่องปริศนา' ที่ถูกดัดแปลงให้มองไม่เห็นด้วยตาเปล่าน่ะ"""
ssn_015311_0060#0,"""มีรายงานว่าพบ 'Invisible Box' เหล่านี้ที่ Dreisen Plant ทางตอนเหนือ"""
ssn_015311_0070#0,"""เรายังไม่แน่ใจว่ามันทำงานยังไง หรือทำยังไงให้มันปรากฏขึ้นมา แต่มีรายงานว่าข้างในมีไอเทมล้ำค่าอยู่"""
ssn_015311_0080#0,"""นี่แหละคือสิ่งที่ฉันอยากให้คุณไปตรวจสอบ"""
ssn_015311_0090#0,"""ถ้าเราได้ข้อมูลเพิ่มเติมเกี่ยวกับ Invisible Box เหล่านี้ เราอาจจะแก้ปัญหาการขาดแคลนเสบียงได้"""
ssn_015311_0100#0,"""คุณน่าจะใช้ Active Sonar ของ Mag เพื่อติดตามตำแหน่งของพวกมันได้ ขอให้โชคดีนะ"""
ssn_015311_0110#0,"""อ๊ะ เกือบลืมไปเลย การตรวจสอบครั้งนี้เกี่ยวข้องกับตัวกล่องเท่านั้นนะ"""
ssn_015311_0120#0,"""เพราะงั้นไม่ต้องห่วง ฉันไม่ขอให้คุณส่งไอเทมที่เจอข้างในมาให้ฉันหรอก"""
