name_7446#0,"""Souya"""
ssn_015451_0010#0,"""ขอบใจนะ"""
ssn_015451_0020#0,"""คราวนี้ฉันอยากให้คุณไปตรวจสอบสิ่งที่เรียกว่า 'Ore Cluster' น่ะ"""
ssn_015451_0030#0,"""มีรายงานการพบเห็นพวกมันที่ Felusa Ridge เลย Dreisen Plant ออกไป"""
ssn_015451_0040#0,"""พวกมันเหมือนเป็นก้อนแร่ต่างๆ ขนาดใหญ่ที่หลอมละลายแล้วรวมตัวกันเนื่องจากอุณหภูมิที่สูงลิ่วน่ะ"""
ssn_015451_0050#0,"""ถ้าองค์ประกอบของแร่แต่ละชนิดไม่ได้รับผลกระทบ มันก็จะเป็นวิธีที่ดีในการหาแร่ต่างๆ จำนวนมากได้ในคราวเดียวเลยล่ะ"""
ssn_015451_0060#0,"""แต่อย่างไรก็ตาม Ore Cluster พวกนี้ดูเหมือนจะทำลายได้ยากมาก"""
ssn_015451_0070#0,"""เห็นได้ชัดว่าการโจมตีแบบผิวเผินไม่ทำให้เกิดรอยขีดข่วนบนตัวพวกมันเลยแม้แต่น้อย"""
ssn_015451_0080#0,"""ถ้าปรากฏว่าอาวุธธรรมดาใช้ไม่ได้ผล ฉันก็ไม่แน่ใจเหมือนกันว่าจะทำลายพวกมันได้ยังไง..."""
ssn_015451_0090#0,"""เอาเป็นว่า ฉันอยากให้คุณไปที่ Felusa Ridge แล้วลองหา Ore Cluster พวกนี้ดูหน่อย"""
ssn_015451_0100#0,"""ขอบใจอีกครั้งนะ"""
