name_7446#0,"""Souya"""
ssn_015310_0001#0,"""ในสถานการณ์สงครามที่ยืดเยื้อ การเติมเสบียงและการจัดการเสบียงนั้นสำคัญยิ่งกว่าสิ่งอื่นใด"""
ssn_015310_0002#0,"""Supply Corps อาจจะไม่โดดเด่นเท่าหน่วยอื่น แต่ก็เป็นงานที่ฉันภูมิใจ"""
ssn_015310_0003#0,"""ฉันจะคอยสนับสนุนเพื่อนพ้อง รวมถึงคุณอยู่เบื้องหลังในทุกๆ ก้าวเลยล่ะ"""
ssn_015310_0101#0,"""นี่ มีเวลาสักเดี๋ยวไหม?"""
ssn_015310_0102#0,"""ฉันชื่อ Souya อยู่สังกัด Supply Corps ของ Stia Vanguard"""
ssn_015310_0103#0,"""พอดีเลย ฉันกำลังคิดอยู่ว่าคุณพอจะช่วยอะไรฉันหน่อยได้หรือเปล่า"""
ssn_015310_0104#0,"""รังเกียจที่จะฟังฉันสักหน่อยไหม?"""
ssn_015310_0201#0,"""มีรายงานการพบ 'Invisible Box' ใน Dreisen Plant"""
ssn_015310_0202#0,"""คุณน่าจะใช้ Active Sonar ของ Mag เพื่อติดตามตำแหน่งของพวกมันได้ ขอให้โชคดีนะ"""
ssn_015310_0301#0,"""อ๊ะ ตอนนี้กำลังยุ่งอยู่เหรอ? เอาเถอะ ถ้าว่างมาช่วยเมื่อไหร่ก็บอกฉันแล้วกัน"""
