name_7446#0,"""ソウヤ"""
ssn_015630_0001#0,"""消費の多いものほど、<br>余裕をもって確保しておきたい。"""
ssn_015630_0002#0,"""キミも、面倒がらずに、<br>見つけたものは拾っておくといいだろう。"""
ssn_015630_0101#0,"""よう！\u3000キミの活躍は、<br>俺の耳にも届いているよ。"""
ssn_015630_0102#0,"""だが、俺たちのスティアでの活動は、<br>終わったわけじゃない。"""
ssn_015630_0103#0,"""むしろ、以前よりも、<br>忙しくなっているくらいだな。"""
ssn_015630_0104#0,"""……それで、<br>またキミの力を貸してもらいたくてな。"""
ssn_015630_0201#0,"""今回の調査対象は、<br>スティアリージョンにある、赤いコンテナだ。"""
ssn_015630_0202#0,"""スティアの各地を巡って、<br>なるべく多くのデータを集めてくれ。"""
ssn_015630_0301#0,"""ふむ……キミも忙しいだろうからな……。<br>また今度、お願いさせてもらうよ。"""
ssn_015630_0401#0,"""おお、戻って来たか。"""
ssn_015630_0402#0,"""かなり多くの赤いコンテナを、<br>見つけられたようだな。"""
ssn_015630_0403#0,"""おかげでこちらも、<br>貴重な情報を得ることができた。"""
ssn_015630_0404#0,"""それにしても、火山の奥側のコンテナは、<br>誰が置いたものなんだろうな。"""
ssn_015630_0405#0,"""……まあ、そのあたりの調査は、<br>研究者たちに任せるとするか。"""
ssn_015630_0406#0,"""なんにせよ、キミのおかげで、<br>物資の保管状況は、以前よりも格段によくなった。"""
ssn_015630_0407#0,"""協力に感謝するよ。<br>本当にありがとう。"""
ssn_015630_0501#0,"""俺は、戦いは得意じゃないが、<br>仲間を守りたいという気持ちは、誰にも負けないつもりだ。"""
ssn_015630_0502#0,"""キミを含め、仲間たちの活動を、<br>後方からしっかりとサポートしていくよ。"""
