st_042084_0010#0,"""……아, <%me>.<br>그……"""
st_042084_0020#0,"""이상한데는 없어?"""
st_042084_0030#0,"""건강해보여서 다행이야"""
st_042084_0040#0,"""아, 응.<br>이상한 일은 잔뜩 일어나고 있지만<br>몸은 딱히 문제 없어."""
st_042084_0050#0,"""응, 덕분에 건강해, 라고 말하면 될까."""
st_042084_0060#0,"""……내가 온 거, 놀라지 않는구나.<br>마치, 올 걸 알고 있었던 것처럼."""
st_042084_0070#0,"""그, 그보다 정말로 몸은 괜찮으시죠?<br>또 환창종에 습격당한 건 아닌지<br>엄청 걱정했었다고요!"""
st_042084_0080#0,"""……걱정, 했어? 나를?"""
st_042084_0090#0,"""물론이죠!<br>짧은 시간이지만, 함께 싸운<br>동료니까요!"""
st_042084_0100#0,"""무사한 건 확인했지만<br>보러 갈 수도 없었으니……<br>역시 직접 만나니까 안심이 되네요."""
st_042084_0110#0,"""그나저나 히츠기 씨.<br>뭔가 물어보고 싶은 게 있으시죠?"""
st_042084_0120#0,"""불초 시에라, 뭐든지 제가 대답할 수 있는 거라면<br>뭐든지 대답해드리겠습니다."""
st_042084_0130#0,"""그러면 사양않고 묻겠는데……<br>……너희는, 버그야, 아니<br>그게 아니라! 어어……"""
st_042084_0140#0,"""음~ 으으음~, 아~, 아니, 아닌데……<br>뭐라고 물으면 되는 거지……?"""
st_042084_0150#0,"""인간? 아니 인간으로밖에 안 보이는데……<br>어디서 온 거야…… 는 원래 여기 있었지."""
st_042084_0160#0,"""아 정말, 묻고 싶은 게 너무 많아서<br>혼란스러워! 난 뭘 묻고 싶었던 거지!"""
st_042084_0170#0,"""히츠기 씨와 함께 있는<br>알이라는 남자아이에 대해서, 아닐까요?"""
st_042084_0180#0,"""그래! 그것도!<br>……어, 알의 이름은 어떻게 아는 거야?"""
st_042084_0190#0,"""뭐 상관 없지, 일단 그거부터!<br>알은 누구야? 그 애는 뭐야?<br>인간이야? 이 세계 사람이야?"""
st_042084_0200#0,"""아니면 다른 무언가야!?"""
st_042084_0210#0,"""……죄송하지만 불명입니다.<br>이쪽에는 정보가 부족해서<br>판단하기 힘들어요."""
st_042084_0220#0,"""그럴수가……"""
st_042084_0230#0,"""히츠기는 어떻게 생각해?"""
st_042084_0240#0,"""히츠기는 뭐였으면 좋겠어?"""
st_042084_0250#0,"""……나? 내가 알을<br>어떻게 생각하냐고?"""
st_042084_0260#0,"""나는 알이 뭐였으면 좋겠냐고……?"""
st_042084_0270#0,"""알은…… 버그야. 다들 버그일 거야.<br>마더가 그렇게 말했으니까……<br>그럴…… 텐데……"""
st_042084_0280#0,"""……정말로, 마더 말이 맞는 거야?"""
st_042084_0290#0,"""…………미안.<br>나, 상당히 혼란스러운 거 같아.<br>머릿속이 엉망진창."""
st_042084_0300#0,"""잠깐 정리할 시간이 필요해.<br>오늘은, 돌아갈게."""
st_042084_0310#0,"""……네.<br>언제든지 마음 편히 들러주세요, 히츠기 씨."""
st_042084_0320#0,"""……응.<br><%me>도 고마워."""
