name01#0,"""아나운서"""
st_042060_0001#0,"""A.D.2028/3/23/13:00"""
st_042060_0010#0,"""맛있다, 이거!<br>엄청 맛있어, 누나!"""
st_042060_0020#0,"""그래그래 먹으면서 말하면 안돼.<br>입가에 묻었잖아.<br>자 움직이지 말아봐, 닦을테니까."""
st_042060_0030#0,"""히, 히츠기!<br>나도 좀 흘려서<br>묻어버렸어! 입가에!"""
st_042060_0040#0,"""아 그래, 자 여기."""
st_042060_0050#0,"""그나저나 점심식사 가게 선택부터<br>자리 예약, 주문까지 끝내버리다니<br>세상 참 편해졌어."""
st_042060_0060#0,"""히츠기도 하나 가지는 게 어때~?<br>편리하다고~, 이거. 게임 말고도<br>쓸 수 있어서 난 이제 못 놓겠어."""
st_042060_0070#0,"""나는 아무도 보지 않는<br>방안에서 차분하게<br>PC 만지는 게 좋아."""
st_042060_0080#0,"""그렇게 말해도 요즘 세상에<br>이런 거 없으면 불편하다고~.<br>전용 앱도 잔뜩 개발돼있고 말이야."""
st_042060_0090#0,"""특히 이 YMT 코퍼레이션이<br>만드는 어플은 딱 필요한 기능이 있어서<br>엄청 쓰기 편하단 말이지~."""
st_042060_0100#0,"""이 가게를 예약한 것도<br>아까 보여준 코디 꾸미는 것도<br>YMT 코퍼레이션이 만든 거야."""
st_042060_0110#0,"""게다가 여기 사장님은<br>우리 학교 졸업생이래."""
st_042060_0120#0,"""뭐 그렇게 자세하게 아는 거야, 코오리."""
st_042060_0130#0,"""히츠기가 너무 모르는 거야~.<br>요새 화제의 인물이라고 정말로."""
st_042060_0140#0,"""앗, 봐봐, 호랑이도 제말하면 온다더니<br>마침 와이드쇼에 나와있네, 그 사장님."""
st_042060_0150#0,"""지금, 대대대, 대주목의 YMT 코퍼레이션!<br>그 사옥에 방문 중입니다!"""
st_042060_0160#0,"""게다가 현재 시대의 총아라고 불리는<br>아니에 하기토 사장님이 직접 안내해주십니다~!<br>사장님, 오늘은 잘 부탁드립니다!"""
st_042060_0170#0,"""나야말로 잘 부탁해."""
st_042060_0180#0,"""회사명, 사장님 이름 같은 게 아니죠.<br>어째서 YMT 코퍼레이션인가요?<br>무언가의 약칭, 맞죠?"""
st_042060_0190#0,"""무슨 약칭인 것 같지?"""
st_042060_0200#0,"""어…… YMT니까……<br>이어나 멀티 같은 게 들어갈 것 같네요!"""
st_042060_0210#0,"""땡.<br>정답은 야・마・토야."""
st_042060_0220#0,"""야・마・토?"""
st_042060_0230#0,"""야마토, 란 마음가짐이기도 하지.<br>내가 일본인인 것도 이유 중 하나."""
st_042060_0240#0,"""그리고 무엇보다 그 유명한<br>「전함 야마토」를 리스펙트한 명칭.<br>거기서 따온 YMT야."""
st_042060_0250#0,"""아, 아아, 전함 야마토…… 말이죠.<br>그러고보니 회사 입구에도 모형이<br>전시돼있었죠. 그것도……?"""
st_042060_0260#0,"""땡.<br>그건 야마토가 아니라 무사시야.<br>1942년 취역한, 야마토형 2번함이야."""
st_042060_0270#0,"""네, 그런가요?"""
st_042060_0280#0,"""뭐, 구분하지 못하는 것도 당연하지.<br>야마토와 무사시는 동형함이니, 대화의 흐름상<br>착각하는 것도 어쩔 수 없어."""
st_042060_0290#0,"""아, 네……"""
st_042060_0300#0,"""전함 야마토는 내 혼이라고 말할 수 있는 존재니까.<br>여기가 아니라 내 집의 더 멋지게 보이는 곳에<br>장식해뒀어. 그쪽도 보러 올래?"""
st_042060_0310#0,"""아, 아뇨, 아무리 그래도 거기까진……"""
