un_042010_0010#0,"""여, 마이 프렌드!"""
un_042010_0020#0,"""훗, 그렇게 부끄러워할 필요 없어.<br>자네 말이야, 자・네! \u3000나와 뜻을 같이 하는<br>그야말로 마이 베스트 프렌드말이야!"""
un_042010_0030#0,"""어이어이 조세핀.<br>쪼지마 쪼면 안돼, 난 밥이 아니라고~."""
un_042010_0040#0,"""그렇지 마이 프렌드, 이 애는 처음이지.<br>어때 조세핀은? \u3000귀엽지?<br>식욕이 왕성한 것도 매력 중 하나야!"""
un_042010_0050#0,"""가끔 나를 사냥감을 보는 눈빛으로<br>째려보는 것도 또 큐트하단 말이지……!"""
un_042010_0060#0,"""그렇지, 네 아이들에게 제대로<br>정기적으로 에너지를 주고 있어?"""
un_042010_0070#0,"""이 애들은 특별한 존재라 말이지!<br>우리가 에너지를 공급해서<br>성장해나가는 거야!"""
un_042010_0080#0,"""말하자면 우리가 쏟은 애정으로<br>크나큰 하늘을 향해 날개짓하는 거지……!<br>어때, 그렇지, 조세핀!"""
un_042010_0090#0,"""하하하, 자자, 실례하면 안되지?<br>아무래도 이 애, 배가 고픈가봐.<br>난 이만 실례하겠어, 마이 프렌드!"""
un_042010_0100#0,"""하하핫 조세핀!<br>그렇게 날뛰지 않아도 괜찮아!<br>오늘은 특별한 밥을 준비해뒀거든!"""
un_042010_0110#0,"""으악 위험해! \u3000어이어이 눈을 노린 거야?<br>개구쟁이구나! \u3000하하하핫!"""
