st_042115_0010#0,"""코오리, 미안~.<br>오빠한테 잡혀서<br>좀 늦어버렸네."""
st_042115_0020#0,"""오, 마침 잘 왔어."""
st_042115_0030#0,"""넌…… 저번에 그 변태사장!<br>분명, 아니에 하기토!"""
st_042115_0040#0,"""그렇게 기억하는 건 너무하네 너!"""
st_042115_0050#0,"""히, 히츠기~……!<br>다행이다, 다행이야!"""
st_042115_0060#0,"""다행이야, 히츠기!<br>와줘서 잘됐어……!<br>나, 믿고 있었어!"""
st_042115_0070#0,"""코, 코오리, 너무 유난 떠는 거 아냐?<br>……헉, 설마!"""
st_042115_0080#0,"""아무 짓도 안했어. 난 아무 짓도 안했어.<br>난 여기 졸업생이야.<br>덤으로 5년 전 학생회장은 나야."""
st_042115_0090#0,"""전 학생회장…… 이란 건<br>마더 클러스터에 대해서도……"""
st_042115_0100#0,"""여기 학생회 멤버는 예외없이 전원<br>마더 클러스터에 소속하고 있지?<br>물론 나도 예외는 아냐."""
st_042115_0105#0,"""근처에 온 김에 오랜만에 선배로서<br>훈계나 해볼까 했는데<br>설마 이렇게나 홀대당할줄이야."""
st_042115_0110#0,"""우리 어플의 고등학생 모니터링 상담<br>같은 걸 해두고 싶었는데, 다음에 하지.<br>……그럼 이만, 야사카 히츠기 씨."""
st_042115_0120#0,"""코오리, 저 변태 나갔으니까 이제 괜찮아.<br>……코오리? 괜찮은 거 맞지?"""
st_042115_0130#0,"""……저기, 히츠기.<br>히츠기, 마더 클러스터에……<br>마더가 권유했을 때 기억해?"""
st_042115_0140#0,"""난 지금도 기억해.<br>절대 잊어버린적 없어."""
st_042115_0150#0,"""난 친구가 없어서 외톨이였어.<br>……그런 나를 마더가 이끌어줬어.<br>마더 클러스터로 이끌어줬어."""
st_042115_0160#0,"""그리고 히츠기와 만나게 해줬어.<br>마더가 히츠기를 만나게 해줬어."""
st_042115_0170#0,"""항상 혼자였던 내 첫 친구.<br>첫 소중한 사람."""
st_042115_0180#0,"""마더가 시키는대로 해서……<br>마더 덕분에 히츠기를 만나서<br>사이도 좋아지고…… 그리고, 그리고…………!"""
st_042115_0190#0,"""코오리……"""
st_042115_0200#0,"""……히츠기, 아무데도 가지 말아줘.<br>히츠기가 있어야할 곳은 여기야."""
st_042115_0210#0,"""마더가 시키는대로만 하면<br>반드시 괜찮아. 다들 행복해질 거야.<br>……아무데도 가면, 안되니까 말이야."""
st_042115_0220#0,"""……마더가 시키는대로, 라."""
st_042115_0230#0,"""마더에 대한 신뢰가 엄청나네요."""
st_042115_0240#0,"""……마더란 대체 누구일까요.<br>그정도로 압도적인 존재인 걸까요."""
st_042115_0250#0,"""그나저나 히츠기 씨<br>오빠가 있었군요.<br>키 차이는 마치 부녀지간 같았지만 말이에요."""
