un_043050_0010#0,"""아…!<br><%me> 님~!"""
un_043050_0020#0,"""<%me> 님!<br>오랜만에 뵙습니다!<br>저 기억하시죠!"""
un_043050_0030#0,"""…누구더라?"""
un_043050_0040#0,"""…아아, 오랜만이야"""
un_043050_0050#0,"""대놓고 잊어버리셨어!?"""
un_043050_0060#0,"""그 잠깐의 침묵이<br>기억이 흐릿하단 걸 말해주고 있어요!"""
un_043050_0070#0,"""카토리예요! 카・토・리!<br><%me> 님이 사랑하는 바운서를 널리 알리고 전한<br>이제는 전설이 된 아리따운 소녀랍니다!"""
un_043050_0080#0,"""너무나도 강매에 가까워서<br>접수된 불만의 수로는 전설이 됐지."""
un_043050_0090#0,"""사가 씨가 홍보를 별로 안 해줘서 그래요.<br>무엇보다도 우선 사람들에게 기억되는 게<br>중요하거든요. 정말이지."""
un_043050_0100#0,"""그래도 그래도, <%me> 님의<br>협력 덕분에 바운서라는 클래스가<br>널리 퍼졌사와요!"""
un_043050_0110#0,"""그 활약을 보고 동경한 아크스가<br>가리지 않고 다양한 클래스와 무장을<br>접해 보려 한다고 하더군."""
un_043050_0120#0,"""바운서뿐 아니라 아크스의 다양성을<br>지탱하고 있는 것도 바로 그 활약이다."""
un_043050_0130#0,"""그리고 카토리가 쓸데없이<br><%me> 님도 썼다며<br>영문 모를 선전을 한 탓도 있지."""
un_043050_0140#0,"""거짓말은 안 했어요!<br>저, 거짓말은 안 해요!<br>쓰지는 않았어도 알고는 계셨을 테니까요!"""
un_043050_0150#0,"""게다가 지금 쓰고 있지 않다 해도<br>앞으로 써 주시기만 하면<br>전~부 사실이 되는 거니까요!"""
un_043050_0160#0,"""…뭐, 싸우는 방식이 다양할수록<br>어떤 사태에도 대응하기 쉬워지는 건 사실이지."""
un_043050_0170#0,"""그리고 그것을 익힌 사람이 많을수록<br>대처하기 쉬워지는 것도 또한 사실이다."""
un_043050_0180#0,"""새로운 문제가 발생했다는 건 들었다.<br>…우리의 힘이 필요하다면 언제든 불러라."""
un_043050_0190#0,"""후후후… 사가 씨 말씀대로예요!<br>성장한 제 힘은 <%me> 님을 위해서!"""
un_043050_0200#0,"""…이야기해 보면 알겠지만 카토리는 딱히<br>바뀐 게 없으니 폐를 끼치게 되겠지만<br>잘 부탁한다."""
un_043050_0210#0,"""사가 씨 너무해요!<br><%me> 님도 은근슬쩍<br>고개 끄덕이지 말아주세요!"""
