un_041010_0010#0,"""…여, 선배."""
un_041010_0020#0,"""인사하러 왔다는 건<br>좀 안정됐다는 말이지?"""
un_041010_0030#0,"""복귀하자마자 귀찮은 일에 휘말려서<br>바빠 보이는 건 보고 알았고, 내가 찾아가서<br>방해가 되면 미안하니까 말이야."""
un_041010_0040#0,"""…얼마 만일까.<br>이렇게 제대로 만나는 건."""
un_041010_0050#0,"""자고 있을 뿐이니까 괜찮다고 들었으니<br>딱히 걱정했던 건 아니지만…<br>역시 만나서 얘기할 수 있으니 안심돼."""
un_041010_0060#0,"""너무 과장하는 거 아닌가 생각했지?<br>기다리는 쪽에선 꽤 길었다고."""
un_041010_0070#0,"""어른스러워졌네"""
un_041010_0080#0,"""예뻐졌네"""
un_041010_0090#0,"""…그, 그런가?<br>뭐, 그야 시간이 지나면<br>나도 성장하지."""
un_041010_0100#0,"""예, 예쁘다니…<br>…뭐, 시간이 꽤 지났으니까.<br>나도 성장했지."""
un_041010_0110#0,"""…저기, 이상한 소리해서<br>날 부끄럽게 만들려 해 봤자<br>소용없어, 선배."""
un_041010_0120#0,"""놀림받는 것도 이제 익숙해졌어.<br>그 정도로 당황하진 않아…"""
un_041010_0130#0,"""잠깐, 선배, 가까워…!<br>가깝다니까!"""
un_041010_0140#0,"""…정말, 항상 갑자기라니까!<br>너무 이상하게 굴면 마토이 씨한테<br>일러버릴 거야!"""
un_041010_0150#0,"""…하하, 이런 얘기를 주고받다 보니<br>선배가 돌아왔다는 게<br>실감되네."""
un_041010_0160#0,"""제대로 말하는 게 늦어졌지만…<br>…잘 돌아왔어, 선배.<br>계속, 기다리고 있었어."""
linewindow001#0,"""이오(EP4)를 파트너로 부를 수 있게 되었습니다."""
