un_042040_0001#0,"""A.D.2028/3/24"""
un_042040_0010#0,"""하아…… 쇼핑 갔다가<br>욕조에 들어갔을뿐인데<br>오늘은 뭔가 엄청 피곤하네……"""
un_042040_0020#0,"""알, 이불 괜찮지?<br>베개도 제대로 있고?"""
un_042040_0030#0,"""아, 응, 누나……"""
un_042040_0040#0,"""그럼 불 끈다."""
un_042040_0050#0,"""……하아, 이렇게 느긋하게<br>잘 수 있는 것도 오랜만인 거 같아."""
un_042040_0060#0,"""적어도 꿈 속에서만큼은 아무 생각도<br>하지 않고 느긋하고 한가롭고 편안하게……"""
un_042040_0070#0,"""햣!?"""
un_042040_0080#0,"""아, 알? 왜 그래?<br>네 이불은 저쪽인데?"""
un_042040_0090#0,"""에……<br>알…… 떨고 있는 거야?"""
un_042040_0100#0,"""미안, 누나……<br>하지만, 어두운 게, 무서워서."""
un_042040_0110#0,"""어딘가로 끌려갈 것 같고……<br>빨려들어갈 것 같아서……"""
un_042040_0120#0,"""누나와 만나가 전의 나로<br>돌아갈 것 같아서……<br>누나랑 떨어지는 게, 무서워서."""
un_042040_0130#0,"""알……"""
un_042040_0140#0,"""이리 와, 알."""
un_042040_0150#0,"""……어, 그래도 돼?"""
un_042040_0160#0,"""나는 누나니까.<br>겁많은 동생을 그냥 둘 수는 없잖아.<br>자, 얼른."""
un_042040_0170#0,"""……응<br>고마워, 누나."""
un_042040_0180#0,"""알의 기분은 잘 알 것 같아요.<br>엄청엄청 잘 알겠어요~."""
un_042040_0190#0,"""누군가와 함께 있다는 건<br>정말 엄청 안심이 되거든요~."""
un_042040_0200#0,"""저도 계속 이 관리함교에<br>혼자 있었으니까 더욱 공감이 되네요!<br>꽤나 외롭단 말이죠~……"""
un_042040_0210#0,"""그치만그치만, 요새는<br><%me> 씨가 항상<br>와주시니까 외롭지 않다고요? 후훗."""
