st_041012_0001#0,"""A.P.241/3/22/12:00"""
st_041012_0010#0,"""다녀오셨어요?<br>오랜만의 오라클은 어떠셨나요?<br>몸을 움직이는 데도 익숙해지셨나요?"""
st_041012_0020#0,"""뭐, 곤란한 일이 있으면<br>부담 없이 이 시에라를<br>의지하셔도 괜찮으니까요!"""
st_041012_0030#0,"""뭐니 뭐니 해도 저는<br><%me> 씨 전속<br>오퍼레이터도 겸하고 있으니까요!"""
st_041012_0040#0,"""그럼 이어서<br>아크스 총사령관의 중요한 부탁입니다.<br>이쪽을 봐 주세요."""
st_041012_0050#0,"""오랜만이야, <%me>!<br>나 기억해? 우르크야!<br>어쩌다 보니 총사령관이 돼 버렸습니다."""
st_041012_0060#0,"""기억이 애매할 수도 있다는 얘길 들어서<br>사실 직접 찾아가고 싶었는데…<br>샤오 군이 이것저것 떠맡겨서 바빠서 말이야."""
st_041012_0070#0,"""목소리만 전하게 돼서 미안.<br>제대로 만나는 건 다음으로 하자!"""
st_041012_0080#0,"""뭐, 쌓인 얘기는 잠깐 미뤄두고…<br>부탁하고 싶은 일이 좀 있어."""
st_041012_0090#0,"""최근 정규 아크스라 보기 어려운<br>출신 불명의 아크스가 조금씩 나타나고 있어."""
st_041012_0100#0,"""정보부에 조사를 맡겼는데<br>카스라가 제대로 보고를 안 해줘서<br>뭔가 숨기고 있는 느낌이란 말이지."""
st_041012_0110#0,"""그래서 따로<br>조사를 부탁하고 싶어."""
st_041012_0120#0,"""수상한 아크스는 점찍어뒀어.<br>잠깐 동안만 딱 붙어서<br>감시해 줄 수 있나 해서."""
st_041012_0130#0,"""깨어나자마자 이런 일을 부탁해서 미안하지만<br>직접 나서면 카스라라도<br>불평 못 할 테니까, 부탁 좀 할게!"""
st_041012_0140#0,"""이상, 우르크 총사령관의<br>연락이었습니다."""
st_041012_0150#0,"""그렇군요. <%me> 씨에게<br>연락한 건 그런 이유였군요.<br>이제 이해됐어요."""
st_041012_0155#0,"""우르크 총사령관은 샤오에게서<br>지휘 체계를 넘겨받고 무척 바빠 보이셨으니까요.<br>저도 부탁드리고 싶어요."""
st_041012_0160#0,"""그럼 어서 출격할 준비를 해 보죠.<br>준비가 끝나면 저에게 말을 걸어 주세요."""
st_041012_0170#0,"""참, 그리고 말이죠.<br>아크스 조직 체계도<br>꽤 많이 바뀌었답니다."""
st_041012_0180#0,"""관심 있으시면<br>언제든지 저에게 물어보세요."""
