un_043040_0001#0,"""A.D.2028/3/25"""
un_043040_0005#0,"""어머어머 안녕하세요오!<br>왠지 오랜만에 뵙는 것 같네요오.<br>리사예요, 기억하고 계신가요오?"""
un_043040_0010#0,"""여기서 만나다니 드문 일이네요오.<br><%me> 씨도 쏘러 오신 건가요, 그걸."""
un_043040_0020#0,"""리사가 여기 있는 게 신기해요?<br>리사 말고도 아크스 여러분<br>누구나 오고 있어요오."""
un_043040_0030#0,"""물론 아크스로서 출격 허가가<br>났을 때만이지만요오."""
un_043040_0040#0,"""여기 나오는 환창종, 이었나요?<br>그 푹신푹신한 느낌을 쏘는 게<br>좀 재밌거든요."""
un_043040_0050#0,"""쐈을 때 감촉은 다커와 비슷한 느낌이에요.<br>생물이 아니라 뭔가가 형태를 띤 듯한<br>불안정한 존재란 말이죠오."""
un_043040_0060#0,"""하지만 열심히 형태를 갖추려 하니까<br>그 사이의 감촉이 신선해서…<br>하아… 참을 수 없어요."""
un_043040_0070#0,"""자유롭게 올 수 있는 <%me> 씨가 정말 부러워요.<br>리사도 수호휘사가 되고 싶어요오."""
un_043040_0080#0,"""뭐, 그렇지만 여러 제한이 있는 가운데<br>쏘고 쏘고 또 쏴서 죽이는 쪽이 불타오르기도 하니<br>이대로라도 상관은 없지만요오. 후후후."""
un_043040_0090#0,"""그럼, 그럼그럼, 안녕히 계세요오."""
