un_042020_0001#0,"""A.D.2028/3/24"""
un_042020_0010#0,"""후우우우…… 아아아앗~……<br>오랜만에 많이 걸어서 지쳤어~……"""
un_042020_0020#0,"""그러면 자기 방에 돌아가서 자."""
un_042020_0030#0,"""히츠기는<br>하루종일 쇼핑을 함께 해준 친구에게<br>더 친절해도 된다고 생각합니다~."""
un_042020_0040#0,"""저기~, 알~.<br>알도 같이 자자~.<br>히츠기의 침대, 푹신푹신해~."""
un_042020_0050#0,"""알아.<br>나도 거기서 자고 있었거든."""
un_042020_0060#0,"""거기서 자고 있었다…… 고……!<br>자, 잠깐 히츠기!<br>그게 대체 무슨……!"""
un_042020_0070#0,"""이상한 상상하지마!<br>눈치채고보니 침대 위에 알이 있었을 뿐이야."""
un_042020_0080#0,"""그렇다는 말은 이 침대에<br>히츠기의 땀과 알의 땀이……"""
un_042020_0090#0,"""그렇다면, 잔뜩 흘린<br>내 땀을 합쳐서 기적의 퓨전……!"""
un_042020_0100#0,"""진지하게 기분 나쁘니까 그만둬."""
un_042020_0110#0,"""……하지만 확실히<br>땀이 좀 나긴 했나?"""
un_042020_0120#0,"""해가 쩅쨍했으니까~.<br>알도 땀 흘리지 않았어?"""
un_042020_0130#0,"""……조금, 끈적거려."""
un_042020_0140#0,"""으음, 모처럼 산 옷도 더러워질 거고<br>시간도 마침 괜찮으니<br>먼저 목욕하는 게 낫겠네."""
un_042020_0150#0,"""음, 어라, 히츠기."""
un_042020_0160#0,"""왜?"""
un_042020_0170#0,"""알, 목욕, 어떡할거야?"""
un_042020_0180#0,"""……아."""
un_042020_0190#0,"""……어어, 이거<br>다음 단편 기록은 넘기는 게<br>나을까요?"""
un_042020_0200#0,"""훔쳐보는 건 나빠"""
un_042020_0210#0,"""정보수집은 중요해"""
un_042020_0220#0,"""후, 훔쳐보는 거 아니라고요!<br>이건 엄연한 정보수집이에요!"""
un_042020_0230#0,"""그러니까그러니까, 딱히 켕긴다던지<br>미안한 마음도 딱히 안 들고……<br>그저 조용히 단편 정보를 재생할 뿐이에요."""
un_042020_0240#0,"""……하지만 저한테 시키면서<br><%me> 씨도<br>보는 거잖아요? \u3000치사하네요."""
un_042020_0250#0,"""이, 이 무슨 두려움을 모르는 발언!"""
un_042020_0260#0,"""……알겠습니다!<br><%me> 씨가 그 정도의<br>각오를 하셨다면, 전 협력하겠습니다!"""
un_042020_0270#0,"""……하지만 나중에 혼나면<br><%me> 씨<br>같이 사과해주셔야 해요."""
