name_7439#0,"""Akatsuki"""
ssn_015600_0001#0,"""Bruder มักจะเป็นพวกที่ทุ่มเทให้กับการฝึกฝน ARKS รุ่นใหม่ๆ เสมอเลยนะ"""
ssn_015600_0002#0,"""แต่ไม่นึกเลยว่าเขาจะเจอคนที่มีพรสวรรค์แบบคุณ"""
ssn_015600_0003#0,"""ในฐานะคนที่ต้องสร้างหมวดรบขึ้นมา ฉันเองก็ควรคิดถึงเรื่องการฝึกฝนลูกน้องให้มากขึ้นบ้างแล้วล่ะ"""
ssn_015600_0101#0,"""ไง มาได้จังหวะพอดีเลย!"""
ssn_015600_0102#0,"""ต่อจากนี้ หมวดที่ 1 ของฉันจะเริ่มให้ความสำคัญกับการกำจัด Dread Enemy แล้วล่ะ"""
ssn_015600_0103#0,"""ขอบเขตการทำงานของนักวิจัยและวิศวกรเพิ่มขึ้น เราเลยต้องเริ่มลดความเสี่ยงให้กับผู้ที่ไม่ได้ทำการรบแล้ว"""
ssn_015600_0104#0,"""ฉันเลยอยากขอให้คุณช่วยงานนี้หน่อย ว่าไงล่ะ?"""
ssn_015600_0201#0,"""เป้าหมายคือ Dread Enemy ที่ Stia's Fringes"""
ssn_015600_0202#0,"""ขอยืมพลังหน่อยนะ ขอให้โชคดี!"""
ssn_015600_0301#0,"""อืม ช่วยไม่ได้ล่ะนะ ถ้าเปลี่ยนใจก็บอกได้นะ"""
ssn_015600_1001#0,"""ด้วยความพยายามของคุณ ทำให้การปฏิบัติงานของเราง่ายขึ้นเยอะเลย"""
ssn_015600_1002#0,"""แต่ว่า งานของเรายังไม่จบหรอกนะ"""
ssn_015600_1003#0,"""หลังจาก Stia's Fringes ขอบเขตของเราจะขยายไปที่ Dreisen Plant และต่อด้วย Outer Mediola"""
ssn_015600_1004#0,"""ฉันอยากให้คุณช่วยปฏิบัติการกวาดล้าง Dread Enemy ของเราต่อไป"""
ssn_015600_1005#0,"""จะช่วยพวกเราหน่อยไหม?"""
ssn_015600_1101#0,"""ฉันอยากให้คุณช่วยปฏิบัติการกวาดล้าง Dread Enemy ใน Dreisen Plant ต่อไป"""
ssn_015600_1102#0,"""ตั้งสติให้ดีนะ ขอให้โชคดี!"""
ssn_015600_1201#0,"""รับทราบ ไว้กลับมาตอนที่ว่างๆ ก็ได้นะ"""
ssn_015600_2001#0,"""รออยู่เลย"""
ssn_015600_2002#0,"""ในที่สุดเราก็จะยกระดับการปฏิบัติการเข้าไปใน Mediola แล้ว"""
ssn_015600_2003#0,"""ภารกิจนี้จะอันตรายอย่างเทียบไม่ติดเลย ยิ่งกว่าที่ผ่านมาทั้งหมดเสียอีก"""
ssn_015600_2004#0,"""ถึงอย่างนั้น จะรับงานนี้ไหมล่ะ?"""
ssn_015600_2101#0,"""โค่นล้ม Dread Enemy ใน Outer Mediola: Sector 2 ให้ที"""
ssn_015600_2102#0,"""การต่อสู้นี้น่าจะเป็นการต่อสู้ที่ยากลำบากที่สุดครั้งหนึ่งของเรา แต่ถ้าได้รับความช่วยเหลือจากคุณ ทุกอย่างน่าจะราบรื่นนะ"""
ssn_015600_2103#0,"""ฉันจะภาวนาให้คุณประสบความสำเร็จ!"""
ssn_015600_2201#0,"""เข้าใจแล้ว ไว้เตรียมตัวพร้อมเต็มที่เมื่อไหร่ก็บอกนะ"""
ssn_015600_2301#0,"""ฉันทึ่งในความสามารถของคุณจากใจจริงเลยล่ะ"""
ssn_015600_2302#0,"""ฉันจะไปบอก Bruder ถึงความพยายามของคุณที่นี่ เขาจะต้องดีใจมากแน่ๆ ที่ได้ยิน"""
ssn_015600_2303#0,"""คุณเป็นแบบอย่างที่ยอดเยี่ยมให้กับพวกเราทุกคนในหมวดที่ 1 เลย"""
ssn_015600_2304#0,"""ฉันรอคอยที่จะได้เห็นสิ่งที่จะเกิดขึ้นในอนาคตนะ"""
