name_7439#0,"""Akatsuki"""
ssn_015320_0001#0,"""โอ้ ไง คงจะเป็น Meteorn จากเซ็นทรัลที่ฉันเคยได้ยินมาสินะ"""
ssn_015320_0002#0,"""ฉันเองก็อยู่ที่ Stia มาพักหนึ่งแล้วล่ะ มีอะไรให้ช่วยก็บอกได้เลยนะ"""
ssn_015320_0101#0,"""โอ้ ดีเลยที่มาที่นี่"""
ssn_015320_0102#0,"""ฉันอยากจะคุยด้วยจริงๆ จังๆ น่ะ"""
ssn_015320_0103#0,"""ฉัน Akatsuki เป็นผู้บัญชาการหมวดรบที่ 1 ในหน่วยแนวหน้านี้"""
ssn_015320_0104#0,"""ฉันได้ยินเรื่องของคุณจาก Bruder มาเยอะเลย"""
ssn_015320_0105#0,"""ฉันกับ Bruder เป็นเพื่อนเก่ากันน่ะ รู้จักกันมาตั้งแต่สมัยที่เขายังเป็นมือใหม่"""
ssn_015320_0106#0,"""ฉันเลยสนใจคนที่เขาพูดถึงอย่างชื่นชมในฐานะ ARKS ขึ้นมาน่ะ"""
ssn_015320_0107#0,"""ฉันมีคำขอที่เหมาะสมพอดีเลยล่ะ หวังว่าจะรับไว้นะ ถ้าไม่รังเกียจ"""
ssn_015320_0201#0,"""ฉันอยากให้ไปจัดการ Scout Wasp ใน Dreisen Plant หน่อยน่ะ"""
ssn_015320_0202#0,"""ตามขั้นตอนมาตรฐานคือให้รีบทำลายพวกมัน ก่อนที่พวกมันจะเรียกกำลังเสริมมาได้"""
ssn_015320_0203#0,"""ฉันจะรอคอยดูผลงานของคุณนะ"""
ssn_015320_0301#0,"""งั้นเหรอ... ไว้กลับมาตอนที่ว่างๆ ก็ได้นะ"""
