a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""Район боевых действий - Область ожидания"""
Area0L#0,"""Район боевых действий - Область ожидания"""
QuestInfoAreaName#0,"""Район боевых действий"""
Title#0,"""T: ОТ: Эпизод 6"""
Explanation#0,"""Эта миссия - тренировка типа пробежки, которая<br>нацелена на самую глубокую часть области<br>в VR пространстве. В следствии различных<br>событий, которые пережила ARKS, были выбраны<br>и воссозданы препятствия области боевых<br>дейстий Армады.<br>Используйте все свои способности и прорвитесь.<br>―――――――――――――――――――<br>Завершите квест, одолев врага в конечной области"""
NpcComMsg1#0,"""Сейчас мы начнём особую тренировку!<br>Цель данного квеста заключается<br>в взятии контроля над двумя<br>зонами боевых действий и<br>конечной областью, а также<br>уничтожении сильных врагов."""
NpcComMsg2#0,"""Для начала, вы возьмёте под<br>контроль обе области,<br>на которые можно будет<br>попасть через 2 телепорта!"""
NpcComMsg3#0,"""Равное распределение сил<br>по областям - ключ к быстрому<br>получению контроля!<br>А теперь, давайте приступим<br>к тренировке!"""
NpcComMsg1#1,"""\\これより急襲作戦を開始します。<br>本艦は既に敵旗艦へ進撃中です。"""
NpcComMsg2#1,"""\\総力戦を想定した訓練となり、<br>敵性兵器を破壊することで<br>こちらからの支援も可能になります！"""
NpcComMsg3#1,"""\\協力して作戦に当りましょう。<br>では、頑張ってください！"""
SimpleExplanation#0,"""Подавите Армаду!"""
