un_058010_0010#0,"""두 분!"""
un_058010_0020#0,"""아, 시에라.<br>안녕.<br>그리고 말이야……"""
un_058010_0030#0,"""잠깐, 잠깐, 잠까아안!<br>기다려 주세요! 기다려 주세요!<br>뭔가 달라졌잖아요! 보세요!"""
un_058010_0040#0,"""잘 생각해 보세요!<br>지금 이 상황, 이상하잖아요!"""
un_058010_0050#0,"""……키가 컸어?"""
un_058010_0060#0,"""……좀 커졌어?"""
un_058010_0070#0,"""제가 늘 앉아 있어서<br>그런 인상을 받으신 것 같네요!"""
un_058010_0080#0,"""커졌다는 게 키 말인가요?<br>……어딜 보고 말씀하시는 거예요!"""
un_058010_0090#0,"""……음.<br>미안, 시에라. 모르겠어."""
un_058010_0100#0,"""제가 여기 있다는 거예요!"""
un_058010_0110#0,"""……? 미안해, 시에라.<br>나, 시에라가 생각하는 것보다<br>똑똑하지 않아서……"""
un_058010_0120#0,"""함교 밖에 있어?"""
un_058010_0130#0,"""서서 걷고 있어?"""
un_058010_0140#0,"""맞아요!"""
un_058010_0150#0,"""그건 평소에도 하거든요!<br>제가 함교 밖에 나와 있다는 거예요!"""
un_058010_0160#0,"""아, 그러고 보니……<br>함교 밖에 나온 시에라를<br>보는 건 처음일지도 몰라."""
un_058010_0170#0,"""바로 그거예요!<br>지금 마침 샤오도 와 있어서<br>외출 허가를 받았답니다!"""
un_058010_0180#0,"""연산도 샤오와 함께 처리하고 있고<br>잠깐이라면 문제없다고 해서<br>드디어 일 말고 외출하러 나왔어요!"""
un_058010_0190#0,"""지금까지는<br>함교 밖에 나간 적이 없었어?"""
un_058010_0200#0,"""함교와 정비실만 오갔어요.<br>나머지는 전부 통신으로 충분했으니까요."""
un_058010_0210#0,"""우와! 이게 모두가<br>평소에 보는 광경이군요!<br>화면으로 볼 때와 전혀 달라서 새로워요!"""
un_058010_0220#0,"""짧은 시간을 알차게 써서<br>여기저기 둘러보고 와야겠어요!<br>그럼 두 분, 나중에 봬요!"""
un_058010_0230#0,"""……시에라,<br>엄청 들떠 있었는데<br>그대로 둬도 괜찮을까?"""
