Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 적이 오고 있어요…!<br>아네트 씨, 도우러 가도록 하죠!"""
Success#1,"""/ci2 1 이걸로 끝입니다!<br>다친 곳은 없으신가요?"""
Failure#1,"""하아, 하아…<br>적의 기세를 꺾을 수가 없어요…!"""
Dead#1,"""죄송해요…<br>이젠, 힘이…"""
BuddyDead#1,"""/ci1 1 아네트 씨, 괜찮으세요!?<br>…뒤는 제가 이어받겠습니다!"""
Begin#2,"""/ci1 1 협력하겠습니다!<br>가죠, 브루노 씨!"""
Success#2,"""/ci2 1 이제 괜찮겠죠!<br>그럼, 저는 여기서!"""
Failure#2,"""후퇴하죠.<br>적의 추격에 주의해주세요…!"""
Dead#2,"""죄송해요…<br>이젠 틀린 것 같아요…"""
BuddyDead#2,"""/ci1 1 브루노 씨, 괜찮으세요!?<br>지금 도와드릴게요!"""
