name_7425#0,"""ロナルディン"""
ssn_014610_0001#0,"""星渡りか……。<br>見たところ、それなりに腕はあるようだな。"""
ssn_014610_0002#0,"""私の考案した訓練メニューを勧めたいところだが……、<br>まだ早そうだ。"""
ssn_014610_0003#0,"""もっと鍛えてから、出直して来い。<br>まあ、その気があれば、だがな……。"""
ssn_014610_0011#0,"""お前か……。"""
ssn_014610_0012#0,"""新しい訓練メニューを勧めたいところだが……、<br>まだ早そうだ。"""
ssn_014610_0013#0,"""もっと鍛えてから、また来い。"""
ssn_014610_0101#0,"""私は、アークス上級訓練教官のロナルディン……。<br>リアメイと同じく、アークスの活動支援をしている……。"""
ssn_014610_0102#0,"""お前のために、訓練メニューを用意した。<br>どうだ、受けてみるか……？"""
ssn_014610_0103#0,"""……だが、忠告しておくが、私の訓練は甘くないぞ。<br>途中でリタイアする者も多い……。"""
ssn_014610_0104#0,"""生半可な気持ちでは、難しいだろう……。"""
ssn_014610_0151#0,"""来たな……。"""
ssn_014610_0152#0,"""見るに、<br>鍛錬は怠っていないようだな……。"""
ssn_014610_0153#0,"""お前のために、訓練メニューを用意した。<br>どうだ、受けてみるか……？"""
ssn_014610_0154#0,"""……だが、私の訓練は甘くない。"""
ssn_014610_0155#0,"""生半可な気持ちでは、難しいだろう……。"""
ssn_014610_0201#0,"""私の訓練は甘くないぞ。<br>途中でリタイアする者も多い……。"""
ssn_014610_0202#0,"""生半可な気持ちでは、難しいだろう……。"""
ssn_014610_0251#0,"""私の訓練は甘くない……。"""
ssn_014610_0252#0,"""生半可な気持ちでは、難しいだろう……。"""
ssn_014610_0301#0,"""見事だ。ここまでやるとは……。"""
ssn_014610_0302#0,"""フフ……、楽しませてもらった。<br>これからも、その腕に磨きをかけてほしい……。"""
ssn_014610_0303#0,"""私も、更に充実した訓練メニューを考えておくとしよう。<br>楽しみにしていてくれ。"""
