name_7425#0,"""Ronaldine"""
ssn_014600_0001#0,"""Meteorn งั้นเหรอ...<br>ดูจากลักษณะแล้ว คงจะมีฝีมืออยู่บ้างสินะ"""
ssn_014600_0002#0,"""อยากจะแนะนำโปรแกรมการฝึกที่สร้างขึ้นมาให้หรอกนะ...<br>แต่ดูเหมือนจะยังไม่พร้อมสินะ"""
ssn_014600_0003#0,"""ไปฝึกมาเพิ่มอีกหน่อย แล้วค่อยกลับมาที่นี่<br>ถ้าคิดว่าตัวเองพร้อมแล้วล่ะก็นะ..."""
ssn_014600_0011#0,"""คุณนี่เอง..."""
ssn_014600_0012#0,"""อยากจะแนะนำโปรแกรมการฝึกอันใหม่ให้หรอกนะ...<br>แต่ดูเหมือนจะยังไม่พร้อมสินะ"""
ssn_014600_0013#0,"""ไปฝึกฝนให้มากกว่านี้ แล้วค่อยกลับมาใหม่"""
ssn_014600_0101#0,"""ฉันคือ Ronaldine เป็น ARKS Senior Training Instructor...<br>ฉันมาที่นี่เพื่อสนับสนุนการปฏิบัติภารกิจของ ARKS เหมือนกับ Liu Mei..."""
ssn_014600_0102#0,"""เตรียมคอร์สฝึกเอาไว้ให้แล้ว คิดว่าพร้อมที่จะเผชิญหน้ากับมันไหม...?"""
ssn_014600_0103#0,"""...ขอเตือนไว้ก่อนนะว่า คอร์สของฉันมันไม่ง่าย หลายคนยอมแพ้ไปก่อนที่จะไปถึงจุดหมายด้วยซ้ำ..."""
ssn_014600_0104#0,"""มันไม่ใช่ที่สำหรับคนใจเสาะหรอกนะ..."""
ssn_014600_0151#0,"""มาแล้วสินะ..."""
ssn_014600_0152#0,"""ดูออกเลยว่าไม่ได้ละเลยการฝึกฝนเลยสินะ..."""
ssn_014600_0153#0,"""เตรียมคอร์สฝึกเอาไว้ให้แล้ว คิดว่าพร้อมที่จะเผชิญหน้ากับมันไหม...?"""
ssn_014600_0154#0,"""...แต่ขอเตือนไว้ก่อนนะว่า คอร์สของฉันมันไม่ง่าย"""
ssn_014600_0155#0,"""มันไม่ใช่ที่สำหรับคนใจเสาะหรอกนะ..."""
ssn_014600_0201#0,"""คอร์สของฉันมันไม่ง่าย หลายคนยอมแพ้ไปก่อนที่จะไปถึงจุดหมายด้วยซ้ำ..."""
ssn_014600_0202#0,"""มันไม่ใช่ที่สำหรับคนใจเสาะหรอกนะ..."""
ssn_014600_0251#0,"""คอร์สของฉันมันไม่ง่าย..."""
ssn_014600_0252#0,"""มันไม่ใช่ที่สำหรับคนใจเสาะหรอกนะ..."""
ssn_014600_0301#0,"""ทำได้ยอดเยี่ยมมาก ไม่คิดเลยว่าจะมาได้ไกลขนาดนี้...<br>พูดตามตรงเลยนะ เธอทำให้ฉันประทับใจมาก"""
ssn_014600_0401#0,"""ทำได้ยอดเยี่ยมมาก ไม่คิดเลยว่าจะมาได้ไกลขนาดนี้..."""
ssn_014600_0302#0,"""มีฝีมือที่เก่งกาจเหลือเชื่อเลย...<br>บางทีอาจจะเก่งพอๆ กับ Garoa เลยก็ได้"""
ssn_014600_0303#0,"""หึหึ... เป็นอะไรที่น่าสนุกจริงๆ หมั่นขัดเกลาฝีมือต่อไปล่ะ..."""
ssn_014600_0304#0,"""ฉันจะไปเตรียมโปรแกรมการฝึกที่หนักหน่วงกว่าเดิมเอาไว้ให้ หวังว่าจะพร้อมรับมือเมื่อเวลานั้นมาถึงนะ"""
