IncidentName#0,"""$(0)を撃退せよ！"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Repel $(0)"""
NpcComOnBegin#0,"""This is an emergency broadcast.<br>A $(0) has appeared, <br>hampering our investigation. Intercept it."""
NpcComOnBegin2#0,"""付近にある「ｘｘｘ」を有効利用しろ<br>あの巨体といえど口を狙えば<br>有効なはずだ"""
NpcComOnSuccess#0,"""$(0) retreat confirmed.<br>Somehow you repelled it.<br>Continue your investigation."""
NpcComOnBegin#1,"""$(0) appearance confirmed.<br>This area seems to be its domain.<br>Everyone be on guard."""
NpcComOnBegin2#1,"""$(0)との交戦時には<br>周囲の大砲を有効活用しろ。<br>有利に戦闘が進められるはずだ。"""
NpcComOnSuccess#1,"""The target's readings have disappeared.<br>Good work."""
NpcComOnBegin#2,"""This is an emergency broadcast.<br>A $(0) has appeared, <br>hampering our investigation. Intercept it."""
NpcComOnBegin2#2,"""付近にある「ｘｘｘ」を有効利用しろ<br>あの巨体といえど口を狙えば<br>有効なはずだ"""
NpcComOnSuccess#2,"""$(0) retreat confirmed.<br>Somehow you repelled it.<br>Continue your investigation."""
NpcComOnBegin#3,"""$(0)の反応を感知。<br>各員、警戒を。"""
NpcComOnBegin2#3,"""$(0)には、現地に存在する<br>大砲が有効だという報告があります。<br>状況に応じ、活用してください。"""
NpcComOnSuccess#3,"""敵性存在、反応消失。<br>任務完了となります。"""
