IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Emergency directive! <br>Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0) that burst into the area!"""
NpcComOnPreBegin#0,"""Detected a powerful enemy <br>presence! We believe it's related <br>to your current enemies!"""
NpcComOnBegin#0,"""Urgent directive. Confirmed a <br>powerful enemy presence.<br>Please defeat it immediately."""
NpcComOnSuccess#0,"""/face2 Nearby powerful enemy presence<br>has been completely repelled!<br>Great work!"""
NpcComOnFailure#0,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin#1,"""Readings say a powerful enemy is <br>approaching. Seems to be related <br>to what you're currently fighting."""
NpcComOnBegin#1,"""This is urgent.<br>A strong enemy presence has been<br>confirmed. Defeat it ASAP."""
NpcComOnSuccess#1,"""Seems like the enemy has<br>been taken care of, for now.<br>That was tough."""
NpcComOnFailure#1,"""/face6 Failed...<br>Return to your mission, everyone."""
NpcComOnPreBegin#2,"""These readings are so strong!<br>Are you fighting similar<br>enemies right now?"""
NpcComOnBegin#2,"""These are urgent orders!<br>Powerful enemy readings confirmed!<br>Defeat it quickly, please!"""
NpcComOnSuccess#2,"""/face2 Phew, that's settled for now!<br>That was good!"""
NpcComOnFailure#2,"""/face6 Ohhh... Failure...<br>Please return to your mission."""
NpcComOnPreBegin#3,"""交戦中の種と同質の反応を持つ<br>強力な敵性反応が接近中。"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性反応が出現。<br>早急に撃破を。"""
NpcComOnSuccess#3,"""周囲の敵性反応、消失。<br>見事な対応です。"""
NpcComOnFailure#3,"""緊急任務の失敗を確認。<br>通常任務へ戻ってください。"""
NpcComOnPreBegin#4,"""強力な敵性反応を感知！<br>交戦中のものと同種ですね、これ。<br>敵の増援かもしれません。"""
NpcComOnBegin#4,"""緊急通達！<br>敵性存在の増援を確認しました！<br>あわせて撃破しちゃいましょう！"""
NpcComOnSuccess#4,"""周辺の敵性存在、反応消失！<br>お疲れさまでした！"""
NpcComOnFailure#4,"""流石に厳しいですよね……<br>気を取り直して<br>通常任務に戻りましょう。"""
