IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Emergency directive! <br>Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0) that burst into the area!"""
NpcComOnPreBegin#0,"""Nyau is retreating... Wait! Its retreat is causing some sort of spacial distortion! Please, be careful!"""
NpcComOnBegin#0,"""A $(0) has emerged. Please, I know we're asking you all to fight another battle, but we need you to intercept it."""
NpcComOnSuccess#0,"""Much appreciated. You have our thanks for dealing with this so well."""
NpcComOnFailure#0,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin_Other#0,"""Nyau is retreating... Wait! Its retreat is causing some sort of spacial distortion! Please, be careful!"""
NpcComOnBegin_Other#0,"""A $(0) has emerged. Please, I know we're asking you all to fight another battle, but we need you to intercept it."""
NpcComOnSuccess_Other#0,"""Much appreciated. You have our thanks for dealing with this so well."""
NpcComOnFailure_Other#0,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin_Darker#0,"""Nyau is retreating... Wait! Its retreat is causing some sort of spacial distortion! Please, be careful!"""
NpcComOnBegin_Darker#0,"""A $(0) has emerged. Please, I know we're asking you all to fight another battle, but we need you to intercept it."""
NpcComOnSuccess_Darker#0,"""Much appreciated. You have our thanks for dealing with this so well."""
NpcComOnFailure_Darker#0,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin#1,"""Nyau got away... Wait, what? We're picking up a distortion in space from where he escaped. Watch out, something's coming!"""
NpcComOnBegin#1,"""Tch, what a pain. Prepare to fight, people. Drive back the hostile that just appeared!"""
NpcComOnSuccess#1,"""The readings are gone. You handled that surprise attack with aplomb."""
NpcComOnFailure#1,"""/face6 Failed...<br>Return to your mission, everyone."""
NpcComOnPreBegin_Other#1,"""Nyau got away... Wait, what? We're picking up a distortion in space from where he escaped. Watch out, something's coming!"""
NpcComOnBegin_Other#1,"""Tch, what a pain. Prepare to fight, people. Drive back the hostile that just appeared!"""
NpcComOnSuccess_Other#1,"""The readings are gone. You handled that surprise attack with aplomb."""
NpcComOnFailure_Other#1,"""/face6 Failed...<br>Return to your mission, everyone."""
NpcComOnPreBegin_Darker#1,"""Nyau got away... Wait, what? We're picking up a distortion in space from where he escaped. Watch out, something's coming!"""
NpcComOnBegin_Darker#1,"""Tch, what a pain. Prepare to fight, people. Drive back the hostile that just appeared!"""
NpcComOnSuccess_Darker#1,"""The readings are gone. You handled that surprise attack with aplomb."""
NpcComOnFailure_Darker#1,"""/face6 Failed...<br>Return to your mission, everyone."""
NpcComOnPreBegin#2,"""Nyau's turning tail... Eh, h-huh? There's something odd about the area he's escaping from... P-please, be careful!"""
NpcComOnBegin#2,"""A powerful enemy has arrived... We just need another push from everyone!"""
NpcComOnSuccess#2,"""Hip hip hooray, you did it! We're not getting any more hostile readings! Thank you all so much!"""
NpcComOnFailure#2,"""/face6 Ohhh... Failure...<br>Please return to your mission."""
NpcComOnPreBegin_Other#2,"""Nyau's turning tail... Eh, h-huh? There's something odd about the area he's escaping from... P-please, be careful!"""
NpcComOnBegin_Other#2,"""A powerful enemy has arrived... We just need another push from everyone!"""
NpcComOnSuccess_Other#2,"""Hip hip hooray, you did it! We're not getting any more hostile readings! Thank you all so much!"""
NpcComOnFailure_Other#2,"""/face6 Ohhh... Failure...<br>Please return to your mission."""
NpcComOnPreBegin_Darker#2,"""Nyau's turning tail... Eh, h-huh? There's something odd about the area he's escaping from... P-please, be careful!"""
NpcComOnBegin_Darker#2,"""A powerful enemy has arrived... We just need another push from everyone!"""
NpcComOnSuccess_Darker#2,"""Hip hip hooray, you did it! We're not getting any more hostile readings! Thank you all so much!"""
NpcComOnFailure_Darker#2,"""/face6 Ohhh... Failure...<br>Please return to your mission."""
NpcComOnPreBegin#3,"""Nyau is retreating... We're picking up a spacial distortion caused by its retreat. New hostile readings. It's inbound."""
NpcComOnBegin#3,"""This is an emergency directive. Please repel the hostile that has appeared."""
NpcComOnSuccess#3,"""The hostile readings have completely disappeared. Your response to this situation has been admirable."""
NpcComOnFailure#3,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin_Other#3,"""Nyau is retreating... We're picking up a spacial distortion caused by its retreat. New hostile readings. It's inbound."""
NpcComOnBegin_Other#3,"""This is an emergency directive. Please repel the hostile that has appeared."""
NpcComOnSuccess_Other#3,"""The hostile readings have completely disappeared. Your response to this situation has been admirable."""
NpcComOnFailure_Other#3,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin_Darker#3,"""Nyau is retreating... We're picking up a spacial distortion caused by its retreat. New hostile readings. It's inbound."""
NpcComOnBegin_Darker#3,"""This is an emergency directive. Please repel the hostile that has appeared."""
NpcComOnSuccess_Darker#3,"""The hostile readings have completely disappeared. Your response to this situation has been admirable."""
NpcComOnFailure_Darker#3,"""/face4 This situation's a failure.<br>Everyone, please return <br>to the mission."""
NpcComOnPreBegin#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnFailure#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
NpcComOnPreBegin_Other#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Other#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess_Other#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnFailure_Other#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
NpcComOnPreBegin_Darker#4,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Darker#4,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess_Darker#4,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnFailure_Darker#4,"""ううむ……残念ですが迎撃失敗です。<br>通常任務に戻ってください。"""
