Title#0,"""Open Config Window"""
MenuTreeBasic#0,"""Basic Settings"""
MenuTreeDirection#0,"""Direction Settings"""
MenuTreeDraw#0,"""Video Settings"""
MenuTreeSound#0,"""Sound Settings"""
MenuTreeControl#0,"""Control Settings"""
MenuTreeCommunication#0,"""Communication"""
MenuTreeSystem#0,"""System"""
MenuButtonBasic#0,"""Basic Settings"""
MenuButtonNotice#0,"""Notification Settings"""
MenuButtonCamera#0,"""Camera Settings"""
MenuButtonCamera_v#0,"""ゲーム内カメラ設定"""
MenuButtonShoot#0,"""Screenshot Settings"""
MenuButtonChat#0,"""Open Macros"""
MenuButtonDirection#0,"""Direction Settings"""
MenuButtonDrawFunction#0,"""Drawing Features"""
MenuButtonDrawShadow#0,"""Shadow Settings"""
MenuButtonDrawDisplay#0,"""Display Settings"""
MenuButtonSound#0,"""Sound Settings"""
MenuButtonOperationType#0,"""Primary Input Method"""
MenuButtonActionType#0,"""Action Type Selection"""
MenuButtonSndVolume#0,"""Volume"""
MenuButtonSndPlay#0,"""Playback Settings"""
MenuButtonCtrl#0,"""Control Settings"""
MenuButtonCtrlKeybord#0,"""Keyboard Settings"""
MenuButtonCtrlMouse#0,"""Mouse Settings"""
MenuButtonCtrlAnnounce#0,"""Display Settings"""
MenuButtonCtrlPadBehavior#0,"""Basic Gamepad Config"""
MenuButtonCtrlPadCtrl#0,"""Gamepad Settings"""
MenuButtonCommunication#0,"""Communication Settings"""
MenuButtonWindow#0,"""Window Reset"""
MenuButtonEsthetic#0,"""Makeover settings"""
MenuButtonRideroid#0,"""Rideroid Settings"""
MenuButtonSystem#0,"""System"""
MenuButtonReset#0,"""Reset All"""
MenuButtonExit#0,"""Cancel and Exit"""
MenuButtonExitWithSave#0,"""Save and Exit"""
ConfirmTitleInit#0,"""Reset Settings"""
ConfirmMessageInit#0,"""This will reset all options. <br>Are you sure?"""
ConfirmTitle#0,"""Exit confirmation"""
ConfirmMessageApply#0,"""Are you sure you want to save these settings?"""
ConfirmMessageDisapply#0,"""Are you sure you want to discard changes?"""
ConfirmButtonApply#0,"""Exit and Save"""
ConfirmButtonDisapply#0,"""Exit and Discard"""
ConfirmButtonCancel#0,"""Return to Options"""
BasicTextRadarMapDirection#0,"""Radar Map Rotation"""
BasicTextMoviePlay#0,"""Ingame Video Playback"""
BasicTextSmutFilter#0,"""Text Filter Settings"""
BasicTextLockon#0,"""Lock-On Settings"""
BasicTextPaletteChange#0,"""Palette Change Settings"""
BasicTextKeyMoveEscape#0,"""Settings for avoiding using the keyboard"""
BasicTextFeaturedEvents#0,"""Event Camera Focus"""
BasicTextMesetaAuto#0,"""Automatically pick up Meseta"""
BasicTextCharacterColor#0,"""Other party name settings"""
BasicTextAttackProperty#0,"""Color HP bar by damage type"""
BasicTextAutoPartyName#0,"""Auto Party Name Setting"""
BasicTextBeginner#0,"""Default block for level 20 and below"""
BasicTextSubActionPalletName#0,"""Display Selected Subpalette Entry"""
BasicTextRareDrop#0,"""Rare Item Drop Notification Setting"""
BasicTextRareautoget#0,"""Rare Item Auto-Collect Settings"""
BasicTextWarehouseCursor#0,"""Storage Cursor Placement Settings"""
BasicTextPetStatus#0,"""Pet Parameter Display Settings"""
BasicTextEtrialMap#0,"""Change Radar Map For E-Trials"""
VitaCtrlTextSwapLR#0,"""L/Rボタン機能入れ替え（カスタム時無効）"""
VitaCtrlTextSwapStartSelect#0,"""START/SELECTボタン機能入れ替え(カスタム時無効)"""
VitaCtrlTextNormalCtrlType#0,"""通常視点操作タイプ"""
VitaCtrlTextShoulderCtrlType#0,"""肩越し視点操作タイプ"""
VitaCtrlTextSavePartySetting#0,"""Save party settings"""
VitaCtrlTextLockonChange#0,"""Switch lock on by using right stick"""
VitaCtrlTextNavi#0,"""Navigation icon display"""
BasicHintRadarMapDirection#0,"""Set whether the radar will rotate <br>to follow the camera's orientation."""
BasicHintMoviePlay#0,"""Enable or disable the video playback <br>in-game (such as on the monitors in the Arks Lobby). <br>※Requires a restart to take effect."""
BasicHintSmutFilter#0,"""If enabled, offensive language will not be displayed in-game."""
BasicHintLockon#0,"""Select how lock-on functions. <br>Determine whether to lock on by <br>clicking the button once, or holding the button."""
BasicHintPaletteChange#0,"""Sets how to switch the palette.<br><br>Select to toggle switching only while holding the button."""
BasicHintKeyMoveEscape#0,"""You can set the interval for the avoidance action<br>using ([W]/[A]/[S]/[D]) movement keys on the keyboard."""
BasicHintSavePartySetting#0,"""Set whether to save the party settings,<br>even after logging out and changing blocks.<br>The party setting will be saved until you exit the game."""
BasicHintLockonChange#0,"""Determines if the lock-on target will be changed using the right stick."""
BasicHintNavi#0,"""You can set whether or not to show the Arks Road<br>Navigation icon, indicating your next goal."""
BasicHintEvent#0,"""Set whether or not to draw attention to events by prompting you to hold <%Access>."""
BasicHintMeseta#0,"""Set whether or not to automatically pick up Meseta when it is nearby."""
BasicHintColor#0,"""Select whether to show other party's names as dark blue or white"""
BasicHintAttackProperty#0,"""ダメージを受けた際に表示されるHPバーの色を<br>打撃、射撃、法撃ごとに変化させるか設定します。"""
BasicHintAutoPartyName#0,"""Set the default party name <br>(if no party name is set)."""
BasicHintBeginner#0,"""レベル20以下のcharacterでログインする時、<br>ビギナーブロックが選ばれやすくするかを選択します。"""
BasicHintSubActionPalletName#0,"""Choose whether to display selected subpalette entry."""
BasicHintRareDrop#0,"""Select the rarity at which rare drop notifications<br>will appear upon a rare item dropping."""
BasicHintautoget#0,"""When 13★ or higher items drop, this setting<br>will deposit them directly to your inventory instead<br>of in the field to protect against forgotten drops."""
BasicHintWarehouseCursor#0,"""倉庫端末や、マイショップ出品時、<br>NPCショップでのアイテム売買において、<br>倉庫UIが表示された時の初期カーソル位置を設定します。"""
