IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnBegin#0,"""Urgent directive. <br>Confirmed powerful enemy readings. <br>Please defeat it immediately."""
NpcComOnSuccess#0,"""/face2 Enemy readings have disappeared, <br>thanks to your hard work."""
NpcComOnFailure#0,"""/face4 Engaged group readings have<br>disappeared. Attempting immediate<br>teleportation to the Campship."""
HP_Under_50#0,"""The $(0) is getting weaker!"""
HP_Under_10#0,"""The $(0) has only a little strength left!"""
NpcComLastEnemy#0,"""There's one left!"""
NpcComOnBegin#1,"""This is urgent. Powerful enemy <br>readings have been detected. <br>Defeat it ASAP."""
NpcComOnSuccess#1,"""Disappearance of enemy readings <br>has been confirmed. Nicely done."""
NpcComOnFailure#1,"""Tch, they've taken a beating. <br>Teleporting them to Campship."""
HP_Under_50#1,"""$(0) is getting weaker!"""
HP_Under_10#1,"""$(0) has little strength left!"""
NpcComLastEnemy#1,"""One left! Don't lose focus!"""
