IncidentName#0,"""Capture the $(0)!"""
TrialBeginMsg#0,"""Use the Capture Device to capture the $(0)!"""
TrialAbstract#0,"""Use the Capture Device to capture the $(0)!"""
ToastOnRestTryCaptureNum#0,"""Capture Device activations remaining\u3000$(0) times left."""
ToastOnUselessAccess#0,"""This Capture Device cannot be used."""
NpcComOnBegin#0,"""A $(0)!<br>Please catch it using<br>the dedicated device!"""
NpcComOnAfterBegin#0,"""Capture device is at $(0)!<br>Lure it in to be captured somehow!"""
NpcComOnSuccess#0,"""/face2 対象の捕獲成功ですー！<br>お見事な動きでしたっ！"""
NpcComOnFailure#0,"""/face6 こ、これ以上は無理みたいですー……<br>通常の任務に戻っちゃってください。"""
NpcComOnEnableCapture#0,"""The target is in capture range! Now! Activate the capture device!"""
NpcComOnCaptureSwitch#0,"""Good timing. Keep the target<br>within the capture device!"""
NpcComOnDisableCapture#0,"""/face4 The capture device can't be used yet.<br>First, lure the target within range!"""
NpcComOnSuccessCapture#0,"""/face2 Subject capture is a success!<br>Transferring the specimen now!"""
NpcComOnFailedCapture#0,"""/face4 Oh no! The capture is a failure!<br>Please be careful, the capture device has<br>a limited effective range!"""
NpcComOnAttackTarget#0,"""/face4 No, please stop!<br>You're only supposed to capture it!<br>Please avoid attacking the target!"""
NpcComOnDeadTarget#0,"""/face6 Target's vital signs lost...<br>...Well, no way to capture it now.<br>Next time, for sure."""
NpcComOnLastCapture#0,"""The transfer device is low on power...<br>Only one chance left!<br>Please be careful!"""
NpcComOnBegin#1,"""$(0)の<br>出現を確認しました。<br>目標の捕獲をお願いします。"""
NpcComOnAfterBegin#1,"""捕獲装置を$(0)に転送。<br>対象を誘導の後、捕獲。<br>指令は以上です。"""
NpcComOnSuccess#1,"""対象の捕獲を確認。<br>迅速な対処、感謝します。"""
NpcComOnFailure#1,"""捕獲任務は失敗と判断。<br>通常任務にお戻りください。"""
NpcComOnEnableCapture#1,"""捕獲有効範囲内に対象を確認。<br>捕獲装置を起動してください。"""
NpcComOnCaptureSwitch#1,"""タイミングは問題なし。<br>後は、対象を有効範囲内で<br>捉えるように。"""
NpcComOnDisableCapture#1,"""今、捕獲装置は使用不可能です。<br>まずは対象を捕獲範囲内に<br>誘導してください。"""
NpcComOnSuccessCapture#1,"""対象捕獲、確認。<br>転送シーケンスに移ります。"""
NpcComOnFailedCapture#1,"""捕獲失敗を確認。<br>捕獲装置の有効範囲を確認し<br>再度、捕獲を行ってください。"""
NpcComOnAttackTarget#1,"""再確認。目的は対象の捕獲です。<br>捕獲対象を攻撃しないように。"""
NpcComOnDeadTarget#1,"""捕獲対象、反応消失しました。<br>捕獲はまた、次の機会に。"""
NpcComOnLastCapture#1,"""転送装置負荷限界まで<br>あと1回となります。<br>慎重な試行を求めます。"""
