IncidentName#0,"""Wipe out the enemies in the time limit"""
TrialBeginMsg#0,"""Wipe out the enemies in the time limit"""
TrialAbstract#0,"""Defeat $(0) [Imitation Kuronites] within the time limit!"""
NpcComOnBegin#0,"""Imitation Kuronites have been<br>created by Magatsu."""
NpcComOnBegin2#0,"""They're heading to the Large Gate to destroy it.<br>Everyone, defeat the Imitation<br>Kuronites within the time limit."""
NpcComOnSuccess#0,"""Imitation Kuronites defeated.<br>Everyone, please continue your<br>battle against Magatsu."""
NpcComOnFailure#0,"""Time limit exceeded, we've failed.<br>Continue the battle against Magatsu<br>after defeating the Imitation Kuronites."""
NpcComOnBegin#1,"""Imitation Kuronites have been<br>created by Magatsu."""
NpcComOnBegin2#1,"""They're heading to the Large Gate to destroy it.<br>Everyone, defeat the Imitation<br>Kuronites within the time limit."""
NpcComOnSuccess#1,"""Imitation Kuronites defeated.<br>Everyone, please continue your<br>battle against Magatsu."""
NpcComOnFailure#1,"""Time limit exceeded, we've failed.<br>Continue the battle against Magatsu<br>after defeating the Imitation Kuronites."""
NpcComOnBegin#2,"""Imitation Kuronites have been<br>created by Magatsu."""
NpcComOnBegin2#2,"""They're heading to the Large Gate to destroy it.<br>Everyone, defeat the Imitation<br>Kuronites within the time limit."""
NpcComOnSuccess#2,"""Imitation Kuronites defeated.<br>Everyone, please continue your<br>battle against Magatsu."""
NpcComOnFailure#2,"""Time limit exceeded, we've failed.<br>Continue the battle against Magatsu<br>after defeating the Imitation Kuronites."""
NpcComOnBegin#3,"""Enemy readings from around Magatsu.<br>They seem to be the creatures<br>Sukuna-hime calls \""Imitation Kuronites.\"""""
NpcComOnBegin2#3,"""They intend to destroy the Large Gate.<br>Everyone, <red>exterminate<black> the corresponding<br>enemy readings <red>within the time limit<black>."""
NpcComOnSuccess#3,"""Extermination of \""Imitation<br>Kuronite\"" readings confirmed.<br>Continue to obstruct Magatsu's invasion."""
NpcComOnFailure#3,"""/face4 Objective failed.<br>Please return focus to Magatsu after<br>exterminating the remaining enemy readings."""
