name_7400#0,"""Deirdre"""
ssn_014271_0001#0,"""De acuerdo, empecemos."""
ssn_014271_0101#0,"""...Mm? No parece que tu clase sea Braver."""
ssn_014271_0102#0,"""Tendrás que inscribirte como Braver en el mostrador de la clase primero. Para quitar las formalidades del camino, ¿sabes?"""
ssn_014271_0103#0,"""Mientras estás allí, echa un vistazo a las habilidades de clase de los Braver. Memorízalas."""
ssn_014271_0104#0,"""Pero oye, ya que estás aquí puedo contarte de qué va la Clase."""
ssn_014271_0201#0,"""Los valientes son una clase orientada a destacar en el combate a corta y larga distancia"""
ssn_014271_0202#0,"""Con una Katana para el cuerpo a cuerpo, y un Arco de Bala para la larga distancia, podemos adaptarnos a cualquier situación en el campo."""
ssn_014271_0203#0,"""Nuestros ataques pueden parecer sencillos a primera vista, pero eso es lo que los convierte en un arte."""
ssn_014271_0204#0,"""Al igual que cualquier otra clase, las habilidades de clase son el pan de cada día. En primer lugar, debes dominar Brave Combat."""
ssn_014271_0205#0,"""Te daré esta tarea por ahora, así que ve a probarla."""
