name_7400#0,"""Deirdre"""
ssn_014270_0010#0,"""Hey, no te he visto por aquí antes ¿no?"""
ssn_014270_0020#0,"""Deberías venir a verme después de conseguir algunas muescas en tu cinturón. Puede ser que te enseñe un par de cosas."""
ssn_014270_0030#0,"""Me alegro de verte."""
ssn_014270_0040#0,"""Soy el instructor principal de combate híbrido."""
ssn_014270_0050#0,"""He oído hablar de ti. Te estás haciendo Famoso. Me gusta eso."""
ssn_014270_0055#0,"""¿Quieres aprender sobre el combate híbrido? Puedo enseñarte."""
ssn_014270_0060#0,"""Oh, bueno... Hazme saber si cambias de opinión."""
ssn_014270_0070#0,"""Aquí no hay trato especial, se empieza por lo básico como todo el mundo."""
ssn_014270_0080#0,"""Para cuando termine contigo, lucharás de forma tan natural como respirar"""
ssn_014270_0101#0,"""Deberías haber aprendido la importancia de las habilidades de clase desde tu entrenamiento básico"""
ssn_014270_0102#0,"""Quiero que llegues lejos. Dedícate a las maquinaciones del combate y lleva a Braver al siguiente nivel."""
