st_013320_0001#0,"""A.P.238/4/9/11:30"""
st_013320_0010#0,"""ふふっ、いいですねえ。<br>あなたの戦い方、どんどんどんどん<br>洗練されていってますよお。"""
st_013320_0020#0,"""リサが見ても時々ぞくぞくっと<br>するような鋭い動き、ありますし<br>すばらしい成長速度です。"""
st_013320_0030#0,"""リサの目に狂いはありませんでした。<br>ほかは狂っているかもしれないですが<br>目だけは自信があるのです。"""
st_013320_0040#0,"""とくに、あなたは特別であり<br>格別な感じでしたねえ。<br>リサ、ビビッときちゃいましたから。"""
st_013320_0050#0,"""あなたはもっともーっと強くなれます。<br>リサの目に間違いはありませんから<br>これはもう決定事項ですねえ。"""
st_013320_0060#0,"""もっともーっと強くなって<br>ずっとずーっと一緒に敵さんを<br>殺して殺して殺して殺しましょうねえ？"""
st_013320_0070#0,"""핫핫핫하!<br>참가자 여러분, 안녕하신가!<br>재밌게 즐기고들 있나!"""
st_013320_0080#0,"""어이 휴이, 휴이!<br>이거 나도 참가하고 싶어!<br>참가할 수는 없는 건가!"""
st_013320_0090#0,"""넌 운영진이잖아…<br>에헴… 정신 차리고<br>중간 경과 보고다!"""
st_013320_0100#0,"""……現在の成績優秀者は<br>レンジャーのリサと<br><%me>のペアだ！"""
st_013320_0110#0,"""聞いたことある名前のような……<br>聞いたことないような……"""
st_013320_0120#0,"""……っていうか、このスコアは<br>ちょっとやりすぎじゃないか？<br>でもまあ、強いのならそれでよし！"""
st_013320_0122#0,"""続いて、ハンターのオーザと<br>フォースのマールーのペア！"""
st_013320_0124#0,"""噂に聞く情報屋姉妹なんかも<br>結構頑張っているみたいだな！"""
st_013320_0126#0,"""誰？"""
st_013320_0140#0,"""とはいえ、全員ほぼ横並びだ！<br>接戦熱戦大激戦！<br>いくらでも逆転のチャンスはあるぞ！"""
st_013320_0150#0,"""저기, 휴이.<br>적혀있는 대로 읽으면<br>어떡해. 즐거워?"""
st_013320_0160#0,"""さあ、ということで後半戦も<br>引き続き、諸君の活躍に期待する！<br>以上！"""
st_013320_0170#0,"""……いいかクラリスクレイス。<br>大人になるって悲しいことなんだ。<br>時にはカンペも必要なんだよ。"""
st_013320_0175#0,"""とりあえず参加者の資料ぐらい<br>お前も読んでおこうな。"""
st_013320_0180#0,"""あらあらあ？\u3000前半戦で<br>すこしやり過ぎちゃいましたかねえ？"""
st_013320_0190#0,"""でもそんなの関係ないですねえ。<br>後半はもっとやっちゃいますから。"""
