st_013520_0001#0,"""A.P.238/4/9/11:30"""
st_013520_0010#0,"""いやー、すっごいねー！<br>こうして一緒に戦ってみると<br>あなたの強さ、よーくわかるよ！"""
st_013520_0020#0,"""やっぱりあたしの見立てに<br>間違いはなかったね！"""
st_013520_0030#0,"""いやに得意げだけど、最初にこの人を<br>強いって判断したのは私だからね。<br>勝手に自分の手柄にしないこと。"""
st_013520_0040#0,"""でも、パティちゃんの言うとおり<br>見てみないとわからなかった<br>というか、想像以上。"""
st_013520_0050#0,"""何でだろう、前はここまで<br>圧倒的な感じはしなかったんだけど。"""
st_013520_0060#0,"""成長が早いってことでしょー。<br>歴戦の勇士、って顔になってるし！<br>いいなあー、かっこいいなぁー！"""
st_013520_0070#0,"""핫핫핫하!<br>참가자 여러분, 안녕하신가!<br>재밌게 즐기고들 있나!"""
st_013520_0080#0,"""어이 휴이, 휴이!<br>이거 나도 참가하고 싶어!<br>참가할 수는 없는 건가!"""
st_013520_0090#0,"""넌 운영진이잖아…<br>에헴… 정신 차리고<br>중간 경과 보고다!"""
st_013520_0100#0,"""……現在の成績優秀者は<br>ハンターのオーザと<br>フォースのマールーのペア！"""
st_013520_0110#0,"""んん？\u3000誰だ？"""
st_013520_0120#0,"""<%me>と<br>噂に聞く情報屋姉妹のパーティーも<br>頑張っているようだな！"""
st_013520_0130#0,"""앗, 그 이름은<br>들어본 적 있으면서도…<br>들어본 적 없는듯한…"""
st_013520_0140#0,"""とはいえ、全員ほぼ横並びだ！<br>接戦熱戦大激戦！<br>いくらでも逆転のチャンスはあるぞ！"""
st_013520_0150#0,"""저기, 휴이.<br>적혀있는 대로 읽으면<br>어떡해. 즐거워?"""
st_013520_0160#0,"""さあ、ということで後半戦も<br>引き続き、諸君の活躍に期待する！<br>以上！"""
st_013520_0170#0,"""……ほらクラリスクレイス<br>これ参加者の資料だから<br>今後のためにもちゃんと読んどけ、な？"""
st_013520_0180#0,"""うはっ！\u3000聞いたティア、聞いた？！<br>ウワサの情報屋姉妹だって！<br>あたしたち、ウワサになってるよ！"""
st_013520_0190#0,"""はいはい、ムダにはしゃがない。<br>名前が出たわけでもないんだよ。<br>まったくもう。"""
