text01#0,"""Чего ты поник?"""
text02#0,"""Что ты не понимаешь?"""
text03#0,"""Почему бы тебе просто не поднять настроение?"""
text04#0,"""Так в чём проблема?"""
text05#0,"""У меня мало времени..."""
text06#0,"""Просто будь собой"""
text99#0,"""Уйти"""
text00#0,"""...Мне было больно, но теперь<br>я в порядке. Спасибо, что<br>обратил внимание, напарник."""
11_voice_NPC_5210_105#0,"""Однако, я не могу принять это..<br>Я просто не могу соревноваться<br>с ним, кто настолько совершенен.<br>Я никак не могу быть им."""
11_voice_NPC_5210_104#0,"""Но если я буду подражать ему,<br>то как смогу справиться<br>со своими слабостями?"""
11_voice_NPC_5210_108#0,"""Напарник, ты не понимаешь,<br>и ладно... Я не такой, как ты,<br>и не могу так просто отойти<br>от подобного!"""
text01#1,"""Я не знаю, напарник, может мне<br>стоит покончить со всем здесь..<br>Я просто уйду из ARKS и<br>перестану быть мёртвым грузом<br>для Юкриты..."""
11_voice_NPC_5210_105#1,"""И всё так закончится?<br>Не думаю, что смогу оправиться<br>от такого...<br>Где всё пошло наперекосяк?.."""
text00#1,"""Если бы ты был на моём месте,<br>ты бы не расстраивался?<br>Для меня это довольно больно."""
11_voice_NPC_5210_100#0,"""Извини меня за то,<br>что было ранее...<br>Когда мы вели диалог,<br>я чувствовал себя очень паршиво."""
text01#2,"""Ты прав! Это как они говорили,<br>что винтовка никогда не предаст<br>меня... Но иногда я просто<br>не могу избавиться от этого<br>чувства."""
11_voice_NPC_5210_103#0,"""Я не знаю, напарник, может мне<br>стоит покончить со всем здесь..<br>Я просто уйду из ARKS и<br>перестану быть мёртвым грузом<br>для Юкриты..."""
11_voice_NPC_5210_105#2,"""И всё так закончится?<br>Не думаю, что смогу оправиться<br>от такого...<br>Где всё пошло наперекосяк?.."""
11_voice_NPC_5210_103#1,"""Д-да ладно, напарник...<br>Пожалуйста, не надо!<br>Разве ты не пытался выслушать<br>выслушать меня? Не отбрасывай<br>мои проблемы так просто.<br>У меня настоящий кризис!"""
text02#1,"""Я просто не хочу разочаровывать<br>свою сестрёнку. Хотя, полагаю,<br>мне стоит просто послушать её<br>не задавая вопросов, но у меня<br>возникает ощущение, словно это<br>плохая идея..."""
11_voice_NPC_5210_105#3,"""Но если я буду подражать ему,<br>то как смогу справиться<br>со своими слабостями?"""
11_voice_NPC_5210_106#0,"""Что? Боже, напарник!<br>Ты разговариваешь с человеком<br>у которого глубоко укоренившиеся<br>проблемы. Пожалуйста, не надо<br>так разговаривать со мной!"""
text01#3,"""Я просто не хочу разочаровывать<br>свою сестрёнку. Хотя, полагаю,<br>мне стоит просто послушать её<br>не задавая вопросов, но у меня<br>возникает ощущение, словно это<br>плохая идея..."""
11_voice_NPC_5210_105#4,"""Но если я буду подражать ему,<br>то как смогу справиться<br>со своими слабостями?"""
text00#2,"""Даже не смотря на то, что этот<br>вариант лучше для меня, чем то,<br>что ты наблюдаешь здесь, ты<br>всё равно говришь, что мне<br>стоит просто быть собой?.."""
text01#4,"""..Это то же самое, что сказала<br>мне Аврора, но это<br>единственный возможный вариант?<br>Конечно, должно быть..."""
11_voice_NPC_5210_100#1,"""Так ты говоришь, что мне стоит<br>перестать пытаться походить<br>на мою сестру и просто быть<br>собой?.. Знаешь, напарник,<br>это хороший совет!"""
text03#1,"""Спасибо, напарник, теперь<br>я знаю что делать.<br>Я рад, что поделился с тобой."""
11_voice_NPC_5210_104#1,"""Эй, напарник... Я извиняюсь,<br>но не мог бы ты оставить меня<br>в покое? Я чувствую себя<br>довольно ужасно сейчас."""
text01#5,"""Я просто ничего не могу сделать<br>правильно... Словно я просто<br>мёртвый груз для Юкриты.<br>Эта мнимая версия меня<br>гораздо лучше меня!"""
11_voice_NPC_5210_105#5,"""Но если я буду подражать ему,<br>то как смогу справиться<br>со своими слабостями?"""
