Begin#0,"""/ci1 1 Oh, well hello there. Think you could lend me a hand here?"""
Success#0,"""/ci2 1 ...Thanks for the help. Good luck out there."""
Failure#0,"""/ci4 3 Things are looking bad! Sorry, I have to retreat."""
Dead#0,"""/ci5 3 No... Not like this..."""
Begin_v2#0,"""/ci1 1 Oh, hello there. Think you could lend me a hand here?"""
Success_v2#0,"""/ci2 1 ...Thanks for the help. Good luck out there."""
Failure_v2#0,"""/ci4 3 Things are looking bad! Sorry, I have to retreat."""
Dead_v2#0,"""/ci5 3 No... Not like this..."""
Begin_7002001_b#0,"""/ci1 2 Uh-oh. This isn't what I expected..._b"""
Success_7002001_a#0,"""/ci2 1 Phew... Looks like we made it._a"""
Failure_7002001#0,"""/ci4 3 Ngh... I think I might have broke something... I'm just gonna make my way back to the City, okay?"""
Dead_7002001#0,"""/ci4 3 No... not here..."""
BuddyDead_7002001#0,"""/ci4 3 No... Not here..."""
Begin_7002001_v3#0,"""/ci1 2 Uh-oh. This isn't what I expected..."""
Success_7002001_v3#0,"""/ci2 1 Phew... Looks like we made it."""
Failure_7002001_v3#0,"""/ci4 3 Ngh... I think I might have broke something... I'm just gonna make my way back to the City, okay?"""
Dead_7002001_v3#0,"""/ci4 3 No... Not here..."""
BuddyDead_7002001_v3#0,"""/ci4 3 No... Not here..."""
Begin#1,"""＊＊開始"""
Success#1,"""＊＊成功"""
Failure#1,"""＊＊失敗"""
Dead#1,"""＊＊死亡"""
Begin_v2#1,"""＊＊開始(Ver2)"""
Success_v2#1,"""＊＊成功(Ver2)"""
Failure_v2#1,"""＊＊失敗(Ver2)"""
Dead_v2#1,"""＊＊死亡(Ver2)"""
Begin_7002001#0,"""＊＊開始(Ver無し)"""
Success_7002001#0,"""＊＊成功(Ver無し)"""
Failure_7002001#1,"""＊＊失敗(Ver無し)"""
Dead_7002001#1,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#1,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#1,"""＊＊開始(Ver3)"""
Success_7002001_v3#1,"""＊＊成功(Ver3)"""
Failure_7002001_v3#1,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#1,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#1,"""＊＊相方死亡(Ver3)"""
Begin#2,"""＊＊開始"""
Success#2,"""＊＊成功"""
Failure#2,"""＊＊失敗"""
Dead#2,"""＊＊死亡"""
Begin_v2#2,"""＊＊開始(Ver2)"""
Success_v2#2,"""＊＊成功(Ver2)"""
Failure_v2#2,"""＊＊失敗(Ver2)"""
Dead_v2#2,"""＊＊死亡(Ver2)"""
Begin_7002001#1,"""＊＊開始(Ver無し)"""
Success_7002001#1,"""＊＊成功(Ver無し)"""
Failure_7002001#2,"""＊＊失敗(Ver無し)"""
Dead_7002001#2,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#2,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#2,"""＊＊開始(Ver3)"""
Success_7002001_v3#2,"""＊＊成功(Ver3)"""
Failure_7002001_v3#2,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#2,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#2,"""＊＊相方死亡(Ver3)"""
Begin#3,"""Oh, thank goodness! I'm in a little over my head here... Think you could give me a hand thinning out these numbers?"""
Success#3,"""Phew... we made it... Thanks so much. You really saved me there. I'll see you later!"""
Failure#3,"""This is too dangerous! Sorry, I'm getting out of here."""
Dead#3,"""＊＊死亡"""
Begin_v2#3,"""＊＊開始(Ver2)"""
Success_v2#3,"""＊＊成功(Ver2)"""
Failure_v2#3,"""＊＊失敗(Ver2)"""
Dead_v2#3,"""＊＊死亡(Ver2)"""
Begin_7002001_b#1,"""あっ、いいところに！<br>ちょっと数が多くて大変だから<br>手伝って貰えないかな？_b"""
Success_7002001_a#1,"""ふう、なんとかなったぁ……<br>素直にありがとね、助かったよ。<br>それじゃ、また！_a"""
Failure_7002001#3,"""＊＊失敗(Ver無し)"""
Dead_7002001#3,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#3,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#3,"""＊＊開始(Ver3)"""
Success_7002001_v3#3,"""＊＊成功(Ver3)"""
Failure_7002001_v3#3,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#3,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#3,"""＊＊相方死亡(Ver3)"""
