IncidentName#0,"""Одолейте Шиву!"""
TrialBeginMsg#0,"""Сразитесь с Богиней Погибели, Шивой!"""
TrialAbstract#0,"""Сразиться с Богиней Погибели, Шивой!"""
NpcComOnBegin#0,"""Срочное уведомление.<br>Подтверждаю появление мощного<br>сигнала врага.<br>Пожалуйста, немедленно<br>разберитесь с ним."""
NpcComOnSuccess#0,"""Сигнал врага исчез.<br>Всем ARKS:<br>Благодарю за приложенные усилия."""
NpcComOnBegin#1,"""Это срочное уведомление.<br>Подтверждаю появление мощного<br>сигнала врага.<br>Разберитесь с ним<br>как можно скорее."""
NpcComOnSuccess#1,"""Подтверждаю исчезновение<br>сигнала врага.<br>Вы хорошо справились."""
NpcComOnBegin#2,"""Э-это срочное уведомление.<br>Подтверждаю появление мощного<br>сигнала врага.<br>Поспешите и разберитесь с ним<br>как можно скорее!"""
NpcComOnSuccess#2,"""/face2 Сигнал варага пропал!<br>Народ, вы хорошо постарались!"""
NpcComOnBegin#3,"""Срочное уведомление.<br>Фиксирую мощный сигнал варага.<br>Надеюсь на вашу быструю реакцию."""
NpcComOnSuccess#3,"""Сигнал врага, исчез.<br>Подтверждаю выполнение миссии."""
NpcComOnBegin#4,"""Срочное уведомление!<br>Подтверждаю мощный сигнал врага!<br>Пожалуйста, немедленно<br>примите меры!"""
NpcComOnSuccess#4,"""Подтверждаю исчезновение<br>сигнала!<br>Это замечательно!"""
NpcComOnBegin#5,"""Срочное уведомление!<br>Подтверждаю мощный сигнал врага!<br>Пожалуйста, немедленно<br>примите меры!"""
NpcComOnSuccess#5,"""Подтверждаю исчезновение<br>сигнала!<br>Это замечательно!"""
