name_7020#0,"""มูระ"""
ssn_014560_0001#0,"""ยินดีต้อนรับสู่เมืองรีเทม"""
ssn_014560_0002#0,"""เราเป็นหนึ่งในผู้ติดตามของท่านนาเดเรห์ ชื่อว่ามูระ"""
ssn_014560_0003#0,"""ท่านนาเดเรห์เป็นคนที่ยุ่งมาก หากมีข้อสงสัยใดๆ โปรดถามเราได้เลย ยินดีที่ได้ช่วยเหลือนะ"""
ssn_014560_0011#0,"""ได้ยินเรื่องวีรกรรมของคุณที่หุบเขาโมราวาแล้วล่ะ"""
ssn_014560_0012#0,"""ต้องขอบคุณมากจริงๆ สำหรับความช่วยเหลือที่คุณมอบให้"""
ssn_014560_0013#0,"""ถึงท่านนาเดเรห์จะไม่ได้แสดงออก แต่ท่านก็รู้สึกยินดีมากเช่นกัน"""
ssn_014560_0014#0,"""ขอบคุณที่คอยสนับสนุนอย่างต่อเนื่องนะ"""
ssn_014560_0021#0,"""ดูเหมือนว่าท่านนาเดเรห์จะได้รับบาดเจ็บ..."""
ssn_014560_0022#0,"""แต่ท่านก็ยังไม่หยุดพัก และยังคงสั่งการต่อไป..."""
ssn_014560_0023#0,"""เป็นห่วงท่านจริงๆ ไม่อยากให้ท่านฝืนตัวเองขนาดนั้นเลย..."""
ssn_014560_0101#0,"""มาได้จังหวะพอดีเลย มีเรื่องอยากจะขอร้องหน่อยน่ะ"""
ssn_014560_0102#0,"""รู้จัก Photon Tuner ใช่ไหม? อุปกรณ์ที่ตอบสนองต่อเสียงร้องน่ะ"""
ssn_014560_0103#0,"""พวกมันถูกทิ้งร้างมาสักพักแล้ว ก็เลยอยากจะให้ช่วยไปตรวจสอบพวกมันในแต่ละพื้นที่หน่อย..."""
ssn_014560_0201#0,"""เราได้ส่งพิกัดของ Tuner ที่ต้องตรวจสอบไปให้แล้วล่ะ"""
ssn_014560_0202#0,"""มีหลายจุดที่อยากให้ช่วยไปตรวจสอบนะ รู้ว่ามันอาจจะเยอะหน่อย แต่ก็ฝากด้วยล่ะ"""
ssn_014560_0301#0,"""เข้าใจแล้ว ตอนนี้คงยังไม่สะดวกสินะ ถ้าว่างเมื่อไหร่ก็ช่วยพิจารณาเรื่องนี้ด้วยนะ"""
ssn_014560_0401#0,"""ชาวเมืองเริ่มที่จะใช้เวลาอยู่ท่ามกลางเสียงเพลงกันมากขึ้นเรื่อยๆ แล้วล่ะ"""
ssn_014560_0402#0,"""ภาวนาให้พวกเราสามารถกลับไปเป็นเหมือนเมื่อก่อน ตอนที่ทุกคนร้องเพลงและเต้นรำด้วยกันได้นะ"""
